CUSTOMER_NUMBER,CCAT_CODE,REGION_CODE,REP_CODE,SETTLE_TERMS,NORMAL_PAYTERMS,DISCOUNT,CREDIT_LIMIT
AMOL01,46,2b,03,0.0,120,0,15000
ANKD01,4,1b,03,0.0,120,0,5000
ANKM01,34,1e,03,0.0,120,0,2000
ANYT01,41,10a,02,0.0,30,0,4000
APHR01,21,25b,ZZZ5,0.0,120,0,2000
APHT01,19,4b,03,0.0,60,0,999999
APLZ01,31,8a,06,0.0,30,0,18000
AQWQ01,42,10b,02,0.0,120,0,12000
AREL01,32,7b,05C,0.0,120,0,15000
AREL02,40,6b,04,0.0,120,0,15000
AREL03,21,25b,06,0.0,120,0,15000
AREL04,32,7b,05,0.0,120,0,10000
AREL05,36,7c,05,0.0,120,0,10000
ASEP01,40,6b,04,0.0,120,0,2000
ASEP02,21,25b,04C,0.0,120,0,3000
ASHB01,20,25a,CITC,0.0,120,0,0
ASHD02,40,6b,04,0.0,30,0,2500
ASHE01,29,5a,01EXP,0.0,120,0,5000
ASHI01,46,2b,03,0.0,120,0,2000
ASHI02,4,1b,03,0.0,30,0,2500
ASHN01,5,20a,02C,0.0,120,0,3000
ASHP01,31,8a,06,0.0,120,0,5000
ASHR02,49,10a,02,0.0,120,0,1000
ASHR03,14,3b,06,0.0,120,0,2000
ASIN01,41,10a,02,0.0,120,0,1500
ASLB01,39,6a,04,0.0,120,0,4000
ASLB02,39,6a,04,0.0,120,0,2500
ASLB03,40,6b,04,0.0,120,0,1500
ASLB04,39,6a,04,0.0,120,0,4000
ASLB05,39,6a,04,0.0,120,0,5000
ASTC01,21,25b,ZZZ5,0.0,120,0,2000
ASTL01,40,6b,04C,0.0,120,0,2000
ASTN01,30,7a,05,0.0,120,0,7500
ASTN04,45,2a,06,0.0,120,0,7500
ASTN07,21,25b,ZZZ5,0.0,120,0,3000
ASWN02,18,4a,06,0.0,120,0,7500
ASWZ01,25,11b,06,0.0,120,0,4000
ATEM01,37,11a,03,0.0,120,0,30000
ATHM01,49,10a,02,0.0,120,0,1000
ATHT01,21,25b,ZZZ5,0.0,120,0,0
ATLK01,25,11b,06,0.0,120,0,3000
ATLL01,4,1b,03,0.0,120,0,1000
ATRV01,21,25b,ZZZ5,0.0,120,0,5000
ATSG01,33,1d,03,0.0,120,0,2000
ATYL02,21,25b,ZZZ5,0.0,120,0,5000
ATYL03,40,6b,04,0.0,30,0,5000
AVAL01,45,2a,06,0.0,120,0,500
AVAL02,45,2a,06,0.0,120,0,2000
AVAL04,45,2a,06,0.0,120,0,2000
AZWV01,21,25b,ZZZ5,0.0,120,0,4000
BABR01,36,7c,05,0.0,60,0,6000
BABR02,21,25b,ZZZ5,0.0,60,0,10000
BBII01,47,2c,06,0.0,120,0,999999
BCAI01,33,1d,03,0.0,120,0,999999
BDEB01,41,10a,02,0.0,120,0,3000
BDEE01,21,25b,ZZZ5,0.0,120,0,2000
BDEE02,21,25b,ZZZ1,0.0,120,0,0
BDEE03,21,25b,ZZZ5,0.0,120,0,1000
BDER01,34,1e,03,0.0,120,0,20000
BDER02,21,25b,ZZZ2,0.0,120,0,5000
BDER03,34,1e,03,0.0,120,0,999999
BDES01,21,25b,ZZZ5,0.0,120,0,0
BDOS01,43,3a,06,0.0,120,0,4500
BEMA01,21,25b,ZZZ5,0.0,120,0,0
BEYE02,19,4b,03,0.0,120,0,7500
BGAO01,21,25b,ZZZ5,0.0,120,0,20000
BGIR01,21,25b,ZZZ5,0.0,120,0,500
BGIS01,41,10a,02,0.0,120,0,500
BHAE01,19,4b,03,0.0,120,0,10000
BJMO01,21,25b,ZZZ5,0.0,120,0,5000
BJOI01,21,25b,ZZZ5,0.0,120,0,1000
BKOR01,21,25b,ZZZ5,0.0,120,0,20000
BKUJ01,31,8a,06,0.0,120,0,5000
BLAU01,47,2c,06,0.0,120,0,3500
BLAU02,47,2c,06,0.0,120,0,5000
BLEO01,20,25a,CITC,0.0,120,0,15000
BMAI01,18,4a,06,0.0,120,0,999999
BMAO01,21,25b,03,0.0,120,0,5000
BMAU01,37,11a,03,0.0,120,0,5000
BMOE01,21,25b,ZZZ1,0.0,120,0,5000
BMOI01,32,7b,05,0.0,120,0,1000
BNAO01,21,25b,ZZZ5,0.0,120,0,2000
BRAA01,42,10b,02,0.0,120,0,5000
BRAO01,18,4a,06,0.0,120,0,30000
BROA01,40,6b,04C,0.0,120,0,5000
BROA02,21,25b,ZZZ5,0.0,120,0,5000
BROE01,21,25b,ZZZ5,0.0,120,0,5000
BROI01,32,7b,05,0.0,120,0,4000
BROI02,14,3b,06,0.0,120,0,7500
BSAE01,21,25b,ZZZ5,0.0,120,0,3000
BSEA01,45,2a,06,0.0,120,0,2500
BSUR01,41,10a,02,0.0,120,0,999999
BURA01,32,7b,05C,0.0,30,0,1000
BZUA01,2,1a,03,0.0,120,0,999999
CADO01,46,2b,05,0.0,120,0,10000
CADO02,32,7b,05,0.0,120,0,10000
CANH01,20,25a,ZZZ2,0.0,120,0,2000
CBAH01,21,25b,ZZZ5,0.0,120,0,1500
CBAH02,21,25b,ZZZ5,0.0,120,0,2000
CBFB01,14,3b,06,0.0,120,0,10000
CBUH01,40,6b,04C,0.0,120,0,4000
CBUH02,40,6b,04C,0.0,120,0,4000
CBUH03,21,25b,ZZZ5,0.0,120,0,15000
CBUH04,40,6b,04C,0.0,120,0,999999
CDIH01,43,3a,06,0.0,120,0,1000
CEXL01,14,3b,06,0.0,120,0,999999
CFIK01,40,6b,04,0.0,120,0,2000
CFMH01,21,25b,ZZZ5,0.0,120,0,1000
CFOU01,20,25a,CITC,0.0,120,0,1000
CHAK01,20,25a,ZZZ4,0.0,120,0,0
CHAK02,20,25a,ZZZ4,0.0,120,0,2500
CJAO01,30,7a,05,0.0,120,0,5000
CKDO01,36,7c,05,0.0,120,0,10000
CKOH01,21,25b,ZZZ5,0.0,120,0,1500
CKOK02,18,4a,07C,0.0,120,0,7500
CLOH01,16,1c,03,0.0,120,0,3000
CLOK01,21,25b,ZZZ5,0.0,120,0,2000
CMAK01,21,25b,ZZZ5,0.0,120,0,3000
CMCU01,16,1c,03,0.0,120,0,4000
CNIC01,21,25b,ZZZ5,0.0,120,0,0
CNIH01,21,25b,ZZZ5,0.0,120,0,25000
CNIH02,5,20a,XX,0.0,120,0,25000
COCH01,21,25b,ZZZ5,0.0,120,0,10000
COCH02,21,25b,ZZZ5,0.0,120,0,10000
COCH03,21,25b,ZZZ5,0.0,120,0,10000
COCH04,21,25b,ZZZ5,0.0,120,0,10000
COCH05,21,25b,ZZZ5,0.0,120,0,2500
COCH06,40,6b,04,0.0,120,0,50000
COCU01,32,7b,05,0.0,30,0,5000
CRIH01,47,2c,03,0.0,120,0,4000
CROO01,29,5a,01EXP,0.0,120,0,500
CSAK01,32,7b,05,0.0,120,0,3000
CSOI01,21,25b,ZZZ,0.0,120,0,999999
CTEH01,14,3b,06,0.0,120,0,3000
CTIK01,45,2a,06,0.0,30,0,2000
CVIT01,49,10a,02,0.0,120,0,2500
CWEK01,40,6b,04,0.0,120,0,5000
CZOC01,21,25b,ZZZ5,0.0,120,0,999999
DANE02,49,10a,02,0.0,120,0,3000
DBEW01,21,25b,ZZZ,0.0,120,0,4000
DBID01,39,6a,04,0.0,120,0,2500
DBOE01,43,3a,05,0.0,120,0,20000
DBUG01,39,6a,04,0.0,120,5,2500
DBUG02,21,25b,ZZZ5,0.0,120,5,3000
DBUG03,37,11a,03,0.0,30,0,999999
DDIA01,21,25b,ZZZ5,0.0,120,0,500
DELO01,4,1b,03,0.0,120,0,2500
DHAD01,21,25b,ZZZ5,0.0,120,0,2000
DHYR01,30,7a,05C,0.0,120,0,999999
DINE01,39,6a,02,0.0,120,0,3000
DINE02,32,7b,05,0.0,120,0,1500
DINU01,21,25b,ZZZ5,0.0,120,0,5000
DINU02,14,3b,06,0.0,120,0,999999
DJAA01,21,25b,ZZZ5,0.0,120,0,2000
DJAA02,43,3a,07,0.0,30,0,2500
DJAE01,21,25b,ZZZ5,0.0,120,0,0
DJAE02,41,10a,02,0.0,30,0,1000
DJUE01,31,8a,06,0.0,120,0,20000
DKOA01,30,7a,05,0.0,120,0,10000
DLEW01,37,11a,03,0.0,120,0,3000
DLEW02,2,1a,03,0.0,120,0,8000
DLEW03,34,1e,03,0.0,60,0,999999
DMAA01,20,25a,CITC,0.0,120,0,5000
DMAH01,43,3a,06,9.0,120,0,5000
DMAI01,43,3a,06,0.0,120,0,1500
DMAI02,2,1a,03,0.0,60,0,999999
DMAZ01,18,4a,06,0.0,120,0,1000
DMCO01,47,2c,06,0.0,120,0,10000
DMEF01,2,1a,03,0.0,120,0,5000
DMEI01,36,7c,05C,0.0,120,0,5000
DMEI02,21,25b,ZZZ5,0.0,120,0,2500
DMEI03,2,1a,03,0.0,120,0,1500
DMEI04,21,25b,ZZZ5,0.0,120,0,2000
DMEI05,21,25b,ZZZ5,0.0,120,0,1000
DMEI06,21,25b,ZZZ5,0.0,120,0,2000
DMEI07,2,1a,03,0.0,120,0,2000
DMEI08,21,25b,ZZZ5,0.0,120,0,500
DMEI09,21,25b,ZZZ5,0.0,120,0,1000
DMEI11,37,11a,03,0.0,120,0,5000
DMEI12,21,25b,ZZZ5,0.0,120,0,999999
DMEI13,29,5a,06,0.0,120,0,999999
DMIR01,36,7c,05,0.0,120,0,0
DMOE02,21,25b,ZZZ5,0.0,120,0,3000
DMOI01,43,3a,06,0.0,120,0,0
DMOI02,19,4b,03,0.0,120,0,3000
DMOI03,46,2b,03,0.0,120,0,2500
DMOI04,30,7a,05,0.0,60,0,999999
DMUA01,19,4b,03,0.0,120,0,1500
DNAE01,21,25b,04,0.0,120,0,500
DOUS01,39,6a,04,0.0,120,0,1000
DPAA01,21,25b,ZZZ5,0.0,120,0,1500
DPAA02,49,10a,02,0.0,120,0,1500
DRAU01,39,6a,02,0.0,120,0,20000
DRAU02,21,25b,ZZZ5,0.0,120,0,10000
DRED01,40,6b,04,0.0,120,0,3000
DRED02,41,10a,02,0.0,120,0,3000
DREE01,40,6b,04,0.0,120,0,1500
DSAI01,16,1c,03,0.0,120,0,2000
DSEI01,43,3a,06,0.0,30,0,3000
DSIN01,36,7c,05,0.0,120,0,1000
DSWE01,30,7a,05,0.0,120,0,10000
DVIA01,47,2c,06C,0.0,120,0,1000
DVIE01,21,25b,CAT03,0.0,120,0,1000
DVOA01,21,25b,ZZZ5,0.0,120,0,10000
DWAE02,21,25b,ZZZ5,0.0,120,0,1000
DWAE03,25,11b,06,0.0,120,0,2000
DWAE04,14,3b,06,0.0,120,0,6000
EACO01,29,5a,06,0.0,30,0,999999
EALX01,39,6a,02,0.0,120,0,20000
EALX03,36,7c,05C,0.0,120,0,0
EAME01,42,10b,02,0.0,120,0,1000
EAMR01,1,9a,01N,0.0,120,0,999999
EBHK01,2,1a,03,0.0,120,0,999999
EBHK02,4,1b,03,0.0,120,0,5000
EBLC01,21,25b,ZZZ5,0.0,120,0,6000
EBLW01,21,25b,ZZZ5,0.0,120,0,1000
EBLW02,21,25b,ZZZ5,0.0,120,0,1000
EBRE01,21,25b,ZZZ5,0.0,120,5,999999
EBRE02,2,1a,03,0.0,120,0,2000
EBRW01,21,25b,ZZZ5,0.0,120,0,3000
ECHC01,21,25b,ZZZ5,0.0,120,0,2000
ECHS01,21,25b,ZZZ5,0.0,120,0,999999
ECHT01,21,25b,ZZZ5,0.0,120,0,1000
ECHT02,49,10a,02,0.0,120,0,500
ECHT03,41,10a,02,0.0,120,0,1000
ECHT04,49,10a,02,0.0,120,0,2000
ECHT05,39,6a,02,0.0,120,0,4000
ECHT06,40,6b,04,0.0,120,0,3000
ECLA01,41,10a,02,0.0,120,0,10000
ECLA02,40,6b,04,0.0,120,0,1000
ECLA03,21,25b,ZZZ5,0.0,120,0,999999
ECLA04,40,6b,04,0.0,120,0,5000
ECLA05,41,10a,02,0.0,120,0,2000
ECOT01,21,25b,ZZZ5,0.0,120,0,1000
ECOT02,19,4b,03,0.0,120,0,1500
ECOT03,21,25b,ZZZ5,0.0,120,0,1000
ECOT04,47,2c,06C,0.0,120,0,5000
ECRS01,32,7b,05,0.0,120,0,1500
ECRW01,21,25b,ZZZ5,0.0,120,0,5000
EEDN01,21,25b,ZZZ5,0.0,120,0,2000
EEVR01,21,25b,ZZZ5,0.0,120,0,50000
EEVR02,45,2a,06,0.0,120,0,3500
EEYB01,46,2b,07C,0.0,120,0,7500
EEYB02,33,1d,03,0.0,60,0,999999
EEYC01,21,25b,ZZZ5,0.0,120,0,999999
EEYC02,29,5a,06,0.0,120,0,5000
EEYC03,21,25b,ZZZ5,0.0,120,0,2000
EEYC04,41,10a,02,0.0,120,0,5000
EEYD01,21,25b,ZZZ5,0.0,120,0,500
EEYD02,40,6b,04,0.0,120,0,1500
EEYD03,21,25b,ZZZ5,0.0,120,0,1000
EEYD04,32,7b,05,0.0,120,0,7500
EEYE01,31,8a,06,0.0,120,0,500
EEYE02,29,5a,06,0.0,120,0,24500
EEYL01,42,10b,02,0.0,120,0,5000
EEYL02,21,25b,ZZZ5,0.0,120,0,75000
EEYL03,14,3b,06,0.0,120,0,3000
EEYL04,21,25b,ZZZ5,0.0,120,0,2500
EEYL05,21,25b,ZZZ5,0.0,120,0,5000
EEYL06,31,8a,06,0.0,60,0,999999
EEYO01,21,25b,ZZZ5,0.0,120,0,2000
EEYP02,4,1b,03,0.0,120,0,200000
EEYQ01,21,25b,ZZZ1,0.0,120,0,1000
EEYS01,49,10a,02,0.0,120,0,500
EEYS02,40,6b,04,0.0,120,0,2000
EEYS03,32,7b,05,0.0,120,0,3000
EEYS04,21,25b,ZZZ5,0.0,120,0,2000
EEYS05,32,7b,05,0.0,120,0,2000
EEYS06,21,25b,ZZZ5,0.0,120,0,2000
EEYS07,21,25b,04,0.0,120,0,3000
EEYS08,20,25a,ZZZ3,0.0,120,0,3000
EEYS09,21,25b,ZZZ,0.0,120,0,500
EEYS10,42,10b,02,0.0,120,0,4000
EEYS12,21,25b,ZZZ1,0.0,120,0,0
EEYS13,21,25b,ZZZ5,0.0,120,0,7500
EEYS14,36,7c,05C,0.0,120,0,5000
EEYS15,25,11b,06,0.0,120,0,999999
EEYT01,21,25b,ZZZ1,0.0,120,0,0
EEYT02,32,7b,05,0.0,120,0,1000
EEYT03,21,25b,ZZZ5,0.0,120,0,2000
EEYT04,39,6a,ZZZ5,0.0,120,0,3000
EEYT05,39,6a,ZZZ5,0.0,120,0,3000
EEYT06,30,7a,05,0.0,60,0,999999
EEYW01,21,25b,ZZZ5,0.0,120,0,500
EEYW02,19,4b,03,0.0,120,0,5000
EEYW03,21,25b,ZZZ5,0.0,120,0,1000
EEYW04,20,25a,ZZZ3,0.0,120,0,500
EEYW05,21,25b,ZZZ5,0.0,120,0,3000
EEYW06,21,25b,ZZZ5,0.0,120,0,2500
EEYZ01,21,25b,ZZZ,0.0,120,0,4000
EFRE01,39,6a,04,0.0,120,0,2000
EFRE02,21,25b,ZZZ5,0.0,120,0,500
EGRE02,25,11b,06,0.0,120,0,750
EGRW01,40,6b,04,0.0,120,0,2000
EIDA01,21,25b,ZZZ5,0.0,120,0,2000
EIDA02,41,10a,02,0.0,120,0,1000
EIDA03,30,7a,05,0.0,60,0,999999
EKET01,36,7c,05,0.0,120,0,1000
EKLR01,21,25b,ZZZ5,0.0,120,0,4000
EMBD01,20,25a,ZZZ2,0.0,120,0,0
EMER01,41,10a,02,0.0,120,0,1500
EMNT01,6,21a,CONS,0.0,30,0,999999
EMYR01,21,25b,ZZZ5,0.0,120,0,1000
EMYY01,30,7a,05,0.0,120,0,999999
ENIH01,21,25b,ZZZ5,0.0,120,0,1000
ENIM01,18,4a,06,0.0,120,0,15000
EOBM01,39,6a,04,0.0,120,0,2500
EOBR01,20,25a,ZZZ2,0.0,120,0,2000
EPER01,39,6a,02,0.0,120,0,20000
EPER03,21,25b,ZZZ5,0.0,120,0,3000
EPER04,30,7a,05C,0.0,120,0,15000
EPHE01,4,1b,03,0.0,120,0,2500
EPHL01,20,25a,ZZZ2,0.0,120,0,0
EPIK01,33,1d,03,0.0,120,0,1000
EPIP01,49,10a,02,0.0,120,0,500
EPIT02,18,4a,06,3.0,120,0,12500
EPRC01,41,10a,02,0.0,120,0,4000
EPRS01,20,25a,ZZZ2,0.0,120,0,4000
EPRT01,4,1b,03,0.0,120,0,5000
EPRT02,42,10b,02,0.0,120,0,5000
EPRT03,21,25b,ZZZ5,0.0,120,0,1000
EPRT04,45,2a,06,0.0,120,0,3000
EPRT05,31,8a,06C,0.0,120,0,2500
EQUE01,36,7c,05,0.0,120,0,3000
ERED01,4,1b,03,0.0,120,0,1000
ERED02,41,10a,02,0.0,120,0,1000
ERED03,41,10a,02,0.0,120,0,5000
EROT01,34,1e,03,0.0,120,0,20000
ESEB01,21,25b,ZZZ5,0.0,120,0,0
ESEB02,40,6b,04,0.0,120,0,3000
ESED01,41,10a,02,0.0,120,0,10000
ESED02,42,10b,02,0.0,120,0,4000
ESED03,21,25b,ZZZ5,0.0,120,0,2000
ESED04,42,10b,02,0.0,120,0,10000
ESES01,20,25a,CITC,0.0,120,0,2500
ESET01,41,10a,02,0.0,120,0,2000
ESHL01,49,10a,02,0.0,120,0,2000
ESHP01,25,11b,06,0.0,120,0,15000
ESHP02,16,1c,03,0.0,120,0,5000
ESHR01,31,8a,06,0.0,120,0,30000
ESHR02,33,1d,03,0.0,120,0,1000
ESHR03,14,3b,06,0.0,120,0,3000
ESHR05,14,3b,06C,0.0,120,0,15000
ESHR07,30,7a,05C,0.0,120,0,5000
ESIF01,5,20a,05,0.0,120,0,10000
ESPC02,37,11a,03,0.0,120,0,7500
ESPC03,40,6b,04,0.0,120,0,15000
ESPC04,21,25b,ZZZ,0.0,120,0,4000
ESPC06,33,1d,03,0.0,120,0,4000
ESPC07,21,25b,ZZZ5,0.0,120,0,5000
ESPC08,21,25b,ZZZ5,0.0,120,0,4000
ESPC09,40,6b,04,0.0,120,0,4000
ESPC10,41,10a,02,0.0,120,0,1000
ESPC11,21,25b,ZZZ5,0.0,120,0,3000
ESPC12,21,25b,04,0.0,120,0,3000
ESPC21,33,1d,03,0.0,120,0,7500
ESPC24,21,25b,ZZZ5,0.0,120,0,7500
ESPC27,21,25b,ZZZ1,0.0,120,0,7500
ESPC29,39,6a,02,0.0,120,0,7500
ESPC31,46,2b,05,0.0,120,0,7500
ESPC32,21,25b,ZZZ2,0.0,120,0,7500
ESPC33,37,11a,03,0.0,120,0,7500
ESPC36,18,4a,06,0.0,120,0,7500
ESPC37,21,25b,ZZZ5,0.0,120,0,7500
ESPC39,37,11a,03,0.0,120,0,7500
ESPC40,46,2b,03,0.0,120,0,7500
ESPC43,19,4b,03,0.0,120,0,999999
ESPC50,4,1b,03,0.0,120,0,7500
ESPC51,30,7a,05,0.0,120,0,4000
ESPC53,46,2b,05,0.0,120,0,7500
ESPC54,18,4a,06,0.0,120,0,7500
ESPC55,21,25b,ZZZ5,0.0,120,0,5000
ESPC56,21,25b,ZZZ5,0.0,120,0,5000
ESPC57,21,25b,ZZZ5,0.0,120,0,15000
ESPC58,40,6b,04,0.0,120,0,5000
ESPC59,40,6b,04,0.0,120,0,15000
ESPC60,21,25b,ZZZ5,0.0,120,0,0
ESPC61,32,7b,05,0.0,120,0,15000
ESPC62,33,1d,03,0.0,120,0,15000
ESPC63,32,7b,03,0.0,120,0,20000
ESPC64,39,6a,02,0.0,120,0,5000
ESPC65,39,6a,02,0.0,120,0,5000
ESPC66,39,6a,04,0.0,120,0,5000
ESPC67,40,6b,04,0.0,120,0,0
ESPC68,40,6b,04C,0.0,120,0,15000
ESPC69,45,2a,06,0.0,120,0,100000
ESPC70,47,2c,06,0.0,120,0,5000
ESPC71,40,6b,04C,0.0,120,0,3000
ESPC72,21,25b,ZZZ5,0.0,120,0,7500
ESPC73,21,25b,ZZZ1,0.0,120,0,4000
ESPC75,21,25b,ZZZ1,0.0,120,0,4000
ESPC76,36,7c,05,0.0,120,0,15000
ESPC78,33,1d,03,0.0,120,0,3000
ESPC79,21,25b,ZZZ5,0.0,120,0,7500
ESPC83,37,11a,03,0.0,120,0,7500
ESPC85,21,25b,ZZZ1,0.0,120,0,0
ESPC87,21,25b,ZZZ5,0.0,120,0,10000
ESPC88,25,11b,05,0.0,120,0,7500
ESPC89,18,4a,06,0.0,120,0,999999
ESPC90,39,6a,02,0.0,120,0,999999
ESPC91,40,6b,04,0.0,30,0,999999
ESPC92,21,25b,ZZZ5,0.0,120,0,999999
ESPC93,36,7c,05,0.0,120,0,999999
ESPC95,43,3a,06,0.0,120,0,10000
ESPC97,21,25b,ZZZ5,0.0,120,0,7500
ESPC98,46,2b,05,0.0,120,0,7500
ESPC99,19,4b,03,0.0,120,0,15000
ESPP14,5,20a,ZZZ5,0.0,120,0,999999
ESTD01,40,6b,04,0.0,120,0,5000
ESTE01,31,8a,06C,0.0,120,0,2000
ESTH01,40,6b,04,0.0,120,0,500
ESTI01,21,25b,ZZZ5,0.0,120,0,2000
ESTI02,14,3b,06,0.0,120,0,0
ESTL01,21,25b,ZZZ5,0.0,120,0,500
ESTL02,40,6b,04,0.0,120,0,10000
ESTP01,40,6b,04C,0.0,120,0,7500
ESTV01,21,25b,ZZZ1,0.0,120,0,0
ETHB01,14,3b,06,0.0,120,0,2500
ETHE01,21,25b,ZZZ5,0.0,120,0,15000
ETHE02,21,25b,ZZZ5,0.0,120,0,4000
ETHE03,41,10a,02,0.0,120,0,4000
ETHE04,5,20a,CONS5,0.0,120,0,999999
ETHL01,21,25b,ZZZ5,0.0,120,0,999999
ETHL02,40,6b,04,0.0,30,0,999999
ETHM02,32,7b,05JAS,0.0,120,0,5000
ETRA01,41,10a,02,0.0,120,0,2000
ETRN01,14,3b,06,0.0,120,0,999999
EVES01,41,10a,02,0.0,120,0,2000
EVIW01,5,20a,03C,0.0,120,0,5000
EVRY01,32,7b,05,0.0,120,0,999999
EZEN01,43,3a,06,0.0,120,0,3000
FGEF01,32,7b,07,0.0,120,0,2000
FJOF01,21,25b,ZZZ5,0.0,120,0,3000
FMAO01,34,1e,03,0.0,60,0,999999
FMOF01,41,10a,02C,0.0,120,0,999999
FMOF02,41,10a,02,0.0,120,0,5000
FMOF03,41,10a,02,0.0,120,0,20000
FMOF04,21,25b,ZZZ5,0.0,120,0,5000
FMOF05,41,10a,02,0.0,120,0,3000
FMOF06,21,25b,ZZZ5,0.0,120,0,999999
FMOF07,41,10a,02,0.0,120,0,999999
FMOF08,41,10a,02,0.0,120,0,999999
FMOF09,49,10a,02,0.0,60,0,999999
FMOF10,41,10a,02,0.0,60,0,999999
FOXO01,21,25b,ZZZ5,0.0,120,0,2000
FROF01,30,7a,01,0.0,120,0,5000
GANL01,21,25b,ZZZ5,0.0,120,0,15000
GANL02,21,25b,ZZZ5,0.0,120,0,15000
GAUU01,49,10a,02,0.0,120,0,3000
GBEG01,21,25b,ZZZ5,0.0,120,0,4000
GBEG04,41,10a,02,0.0,120,0,999999
GBIF01,31,8a,06,8.0,30,18,100000
GDEO01,40,6b,04,0.0,120,0,1000
GEAL01,21,25b,ZZZ5,0.0,120,0,0
GECL01,17,2c,07,0.0,120,0,1000
GEDA01,7,12a,01EXP,0.0,120,0,2000000
GEDA02,7,12a,01,0.0,120,0,999999
GEDA03,1,9a,01,0.0,120,10,999999
GEDA04,7,12a,01,0.0,120,0,2000000
GEDE01,40,6b,04C,0.0,120,0,4000
GEGM01,37,11a,03,0.0,120,0,5000
