CUSTOMER_NUMBER,CCAT_CODE,REGION_CODE,REP_CODE,SETTLE_TERMS,NORMAL_PAYTERMS,DISCOUNT,CREDIT_LIMIT,REGION_DESC,CCAT_DESC,PARAMETER,PARAMETER_GROUP
APHT01,19,4b,03,0,60,0,999999,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
APLZ01,31,8a,06,0,30,0,18000,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
AQWQ01,42,10b,02,0,120,0,12000,Midlands,Midlands,,
AREL01,32,7b,05C,0,120,0,15000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
AREL02,40,6b,04,0,120,0,15000,West Cape,Western Cape / Cape Town,,
AREL04,32,7b,05,0,120,0,10000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
AREL05,36,7c,05,0,120,0,10000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
ASEP01,40,6b,04,0,120,0,2000,West Cape,Western Cape / Cape Town,,
ASHD02,40,6b,04,0,30,0,2500,West Cape,Western Cape / Cape Town,,
ASHE01,29,5a,01EXP,0,120,0,5000,Botswana and Exports,Botswana (Exports),,
ASHI01,46,2b,03,0,120,0,2000,Krugersdorp / Sun City,Krugersdorp Suncity,,
ASHI02,4,1b,03,0,30,0,2500,Pretoria North/South/West,Pretoria North/South /West,,
ASHP01,31,8a,06,0,120,0,5000,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
ASHR02,49,10a,02,0,120,0,1000,Durban,KwaZulu-Natal / Durban,,
ASHR03,14,3b,06,0,120,0,2000,Johannesburg CBD,Johannesburg CBD,,
ASIN01,41,10a,02,0,120,0,1500,Durban,KZN/DBN,,
ASLB01,39,6a,04,0,120,0,4000,East Cape,Eastern Cape,,
ASLB02,39,6a,04,0,120,0,2500,East Cape,Eastern Cape,,
ASLB03,40,6b,04,0,120,0,1500,West Cape,Western Cape / Cape Town,,
ASLB04,39,6a,04,0,120,0,4000,East Cape,Eastern Cape,,
ASLB05,39,6a,04,0,120,0,5000,East Cape,Eastern Cape,,
ASTN04,45,2a,06,0,120,0,7500,Vaal Triangle,Vaal Triangle,,
ASWN02,18,4a,06,0,120,0,7500,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
ASWZ01,25,11b,06,0,120,0,4000,Ermelo / Piet Retief,Ermelo / Piet Retief,,
ATEM01,37,11a,03,0,120,0,30000,Free State / Lesotho,Free State,,
ATHM01,49,10a,02,0,120,0,1000,Durban,KwaZulu-Natal / Durban,,
ATLK01,25,11b,06,0,120,0,3000,Ermelo / Piet Retief,Ermelo / Piet Retief,,
ATLL01,4,1b,03,0,120,0,1000,Pretoria North/South/West,Pretoria North/South /West,,
ATSG01,33,1d,03,0,120,0,2000,Pretoria,Pretoria,,
ATYL03,40,6b,04,0,30,0,5000,West Cape,Western Cape / Cape Town,,
AVAL01,45,2a,06,0,120,0,500,Vaal Triangle,Vaal Triangle,,
AVAL02,45,2a,06,0,120,0,2000,Vaal Triangle,Vaal Triangle,,
AVAL04,45,2a,06,0,120,0,2000,Vaal Triangle,Vaal Triangle,,
BABR01,36,7c,05,0,60,0,6000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
BBII01,47,2c,06,0,120,0,999999,Potch / Krugersdorp / Kuruman,Potch KlerksD Kuruman,,
BCAI01,33,1d,03,0,120,0,999999,Pretoria,Pretoria,,
BDEB01,41,10a,02,0,120,0,3000,Durban,KZN/DBN,,
BDER01,34,1e,03,0,120,0,20000,Witbank/Middelburg,Witbank / Middelburg (Mpumalanga),,
BDER03,34,1e,03,0,120,0,999999,Witbank/Middelburg,Witbank / Middelburg (Mpumalanga),,
BDOS01,43,3a,06,0,120,0,4500,Soweto/Lenasia,Soweto / Lenasia,,
BEYE02,19,4b,03,0,120,0,7500,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
BGIS01,41,10a,02,0,120,0,500,Durban,KZN/DBN,,
BHAE01,19,4b,03,0,120,0,10000,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
BKUJ01,31,8a,06,0,120,0,5000,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
BLAU01,47,2c,06,0,120,0,3500,Potch / Krugersdorp / Kuruman,Potch KlerksD Kuruman,,
BLAU02,47,2c,06,0,120,0,5000,Potch / Krugersdorp / Kuruman,Potch KlerksD Kuruman,,
BMAI01,18,4a,06,0,120,0,999999,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
BMAU01,37,11a,03,0,120,0,5000,Free State / Lesotho,Free State,,
BMOI01,32,7b,05,0,120,0,1000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
BRAA01,42,10b,02,0,120,0,5000,Midlands,Midlands,,
BRAO01,18,4a,06,0,120,0,30000,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
BROI01,32,7b,05,0,120,0,4000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
BROI02,14,3b,06,0,120,0,7500,Johannesburg CBD,Johannesburg CBD,,
BSEA01,45,2a,06,0,120,0,2500,Vaal Triangle,Vaal Triangle,,
BSUR01,41,10a,02,0,120,0,999999,Durban,KZN/DBN,,
BZUA01,2,1a,03,0,120,0,999999,Pretoria Central,Pretoria Central,,
CADO01,46,2b,05,0,120,0,10000,Krugersdorp / Sun City,Krugersdorp Suncity,,
CADO02,32,7b,05,0,120,0,10000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
CBFB01,14,3b,06,0,120,0,10000,Johannesburg CBD,Johannesburg CBD,,
CBUH04,40,6b,04C,0,120,0,999999,West Cape,Western Cape / Cape Town,,
CDIH01,43,3a,06,0,120,0,1000,Soweto/Lenasia,Soweto / Lenasia,,
CEXL01,14,3b,06,0,120,0,999999,Johannesburg CBD,Johannesburg CBD,,
CFIK01,40,6b,04,0,120,0,2000,West Cape,Western Cape / Cape Town,,
CJAO01,30,7a,05,0,120,0,5000,Gauteng N - Sandton,Gauteng North - Sandton,,
CKDO01,36,7c,05,0,120,0,10000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
CKOK02,18,4a,07C,0,120,0,7500,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
CLOH01,16,1c,03,0,120,0,3000,Pretoria East,Pretoria East,,
CMCU01,16,1c,03,0,120,0,4000,Pretoria East,Pretoria East,,
COCH06,40,6b,04,0,120,0,50000,West Cape,Western Cape / Cape Town,,
COCU01,32,7b,05,0,30,0,5000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
CRIH01,47,2c,03,0,120,0,4000,Potch / Krugersdorp / Kuruman,Potch KlerksD Kuruman,,
CROO01,29,5a,01EXP,0,120,0,500,Botswana and Exports,Botswana (Exports),,
CSAK01,32,7b,05,0,120,0,3000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
CTEH01,14,3b,06,0,120,0,3000,Johannesburg CBD,Johannesburg CBD,,
CTIK01,45,2a,06,0,30,0,2000,Vaal Triangle,Vaal Triangle,,
CVIT01,49,10a,02,0,120,0,2500,Durban,KwaZulu-Natal / Durban,,
CWEK01,40,6b,04,0,120,0,5000,West Cape,Western Cape / Cape Town,,
DANE02,49,10a,02,0,120,0,3000,Durban,KwaZulu-Natal / Durban,,
DBID01,39,6a,04,0,120,0,2500,East Cape,Eastern Cape,,
DBOE01,43,3a,05,0,120,0,20000,Soweto/Lenasia,Soweto / Lenasia,,
DBUG01,39,6a,04,0,120,5,2500,East Cape,Eastern Cape,,
DBUG03,37,11a,03,0,30,0,999999,Free State / Lesotho,Free State,,
DELO01,4,1b,03,0,120,0,2500,Pretoria North/South/West,Pretoria North/South /West,,
DHYR01,30,7a,05C,0,120,0,999999,Gauteng N - Sandton,Gauteng North - Sandton,,
DINE01,39,6a,02,0,120,0,3000,East Cape,Eastern Cape,,
DINE02,32,7b,05,0,120,0,1500,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
DINU02,14,3b,06,0,120,0,999999,Johannesburg CBD,Johannesburg CBD,,
DJAA02,43,3a,07,0,30,0,2500,Soweto/Lenasia,Soweto / Lenasia,,
DJAE02,41,10a,02,0,30,0,1000,Durban,KZN/DBN,,
DJUE01,31,8a,06,0,120,0,20000,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
DKOA01,30,7a,05,0,120,0,10000,Gauteng N - Sandton,Gauteng North - Sandton,,
DLEW01,37,11a,03,0,120,0,3000,Free State / Lesotho,Free State,,
DLEW02,2,1a,03,0,120,0,8000,Pretoria Central,Pretoria Central,,
DLEW03,34,1e,03,0,60,0,999999,Witbank/Middelburg,Witbank / Middelburg (Mpumalanga),,
DMAH01,43,3a,06,9,120,0,5000,Soweto/Lenasia,Soweto / Lenasia,,
DMAI01,43,3a,06,0,120,0,1500,Soweto/Lenasia,Soweto / Lenasia,,
DMAI02,2,1a,03,0,60,0,999999,Pretoria Central,Pretoria Central,,
DMAZ01,18,4a,06,0,120,0,1000,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
DMCO01,47,2c,06,0,120,0,10000,Potch / Krugersdorp / Kuruman,Potch KlerksD Kuruman,,
DMEF01,2,1a,03,0,120,0,5000,Pretoria Central,Pretoria Central,,
DMEI03,2,1a,03,0,120,0,1500,Pretoria Central,Pretoria Central,,
DMEI07,2,1a,03,0,120,0,2000,Pretoria Central,Pretoria Central,,
DMEI11,37,11a,03,0,120,0,5000,Free State / Lesotho,Free State,,
DMEI13,29,5a,06,0,120,0,999999,Botswana and Exports,Botswana (Exports),,
DMOI01,43,3a,06,0,120,0,0,Soweto/Lenasia,Soweto / Lenasia,,
DMOI02,19,4b,03,0,120,0,3000,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
DMOI03,46,2b,03,0,120,0,2500,Krugersdorp / Sun City,Krugersdorp Suncity,,
DMOI04,30,7a,05,0,60,0,999999,Gauteng N - Sandton,Gauteng North - Sandton,,
DMUA01,19,4b,03,0,120,0,1500,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
DOUS01,39,6a,04,0,120,0,1000,East Cape,Eastern Cape,,
DPAA02,49,10a,02,0,120,0,1500,Durban,KwaZulu-Natal / Durban,,
DRAU01,39,6a,02,0,120,0,20000,East Cape,Eastern Cape,,
DRED01,40,6b,04,0,120,0,3000,West Cape,Western Cape / Cape Town,,
DRED02,41,10a,02,0,120,0,3000,Durban,KZN/DBN,,
DREE01,40,6b,04,0,120,0,1500,West Cape,Western Cape / Cape Town,,
DSAI01,16,1c,03,0,120,0,2000,Pretoria East,Pretoria East,,
DSEI01,43,3a,06,0,30,0,3000,Soweto/Lenasia,Soweto / Lenasia,,
DSIN01,36,7c,05,0,120,0,1000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
DSWE01,30,7a,05,0,120,0,10000,Gauteng N - Sandton,Gauteng North - Sandton,,
DWAE03,25,11b,06,0,120,0,2000,Ermelo / Piet Retief,Ermelo / Piet Retief,,
DWAE04,14,3b,06,0,120,0,6000,Johannesburg CBD,Johannesburg CBD,,
EACO01,29,5a,06,0,30,0,999999,Botswana and Exports,Botswana (Exports),,
EALX01,39,6a,02,0,120,0,20000,East Cape,Eastern Cape,,
EAME01,42,10b,02,0,120,0,1000,Midlands,Midlands,,
EBHK01,2,1a,03,0,120,0,999999,Pretoria Central,Pretoria Central,,
EBHK02,4,1b,03,0,120,0,5000,Pretoria North/South/West,Pretoria North/South /West,,
EBRE02,2,1a,03,0,120,0,2000,Pretoria Central,Pretoria Central,,
ECHT02,49,10a,02,0,120,0,500,Durban,KwaZulu-Natal / Durban,,
ECHT03,41,10a,02,0,120,0,1000,Durban,KZN/DBN,,
ECHT04,49,10a,02,0,120,0,2000,Durban,KwaZulu-Natal / Durban,,
ECHT05,39,6a,02,0,120,0,4000,East Cape,Eastern Cape,,
ECHT06,40,6b,04,0,120,0,3000,West Cape,Western Cape / Cape Town,,
ECLA01,41,10a,02,0,120,0,10000,Durban,KZN/DBN,,
ECLA02,40,6b,04,0,120,0,1000,West Cape,Western Cape / Cape Town,,
ECLA04,40,6b,04,0,120,0,5000,West Cape,Western Cape / Cape Town,,
ECLA05,41,10a,02,0,120,0,2000,Durban,KZN/DBN,,
ECOT02,19,4b,03,0,120,0,1500,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
ECOT04,47,2c,06C,0,120,0,5000,Potch / Krugersdorp / Kuruman,Potch KlerksD Kuruman,,
ECRS01,32,7b,05,0,120,0,1500,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
EEVR02,45,2a,06,0,120,0,3500,Vaal Triangle,Vaal Triangle,,
EEYB02,33,1d,03,0,60,0,999999,Pretoria,Pretoria,,
EEYC02,29,5a,06,0,120,0,5000,Botswana and Exports,Botswana (Exports),,
EEYC04,41,10a,02,0,120,0,5000,Durban,KZN/DBN,,
EEYD02,40,6b,04,0,120,0,1500,West Cape,Western Cape / Cape Town,,
EEYD04,32,7b,05,0,120,0,7500,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
EEYE01,31,8a,06,0,120,0,500,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
EEYL01,42,10b,02,0,120,0,5000,Midlands,Midlands,,
EEYL03,14,3b,06,0,120,0,3000,Johannesburg CBD,Johannesburg CBD,,
EEYL06,31,8a,06,0,60,0,999999,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
EEYP02,4,1b,03,0,120,0,200000,Pretoria North/South/West,Pretoria North/South /West,,
EEYS01,49,10a,02,0,120,0,500,Durban,KwaZulu-Natal / Durban,,
EEYS02,40,6b,04,0,120,0,2000,West Cape,Western Cape / Cape Town,,
EEYS03,32,7b,05,0,120,0,3000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
EEYS05,32,7b,05,0,120,0,2000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
EEYS10,42,10b,02,0,120,0,4000,Midlands,Midlands,,
EEYS14,36,7c,05C,0,120,0,5000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
EEYS15,25,11b,06,0,120,0,999999,Ermelo / Piet Retief,Ermelo / Piet Retief,,
EEYT02,32,7b,05,0,120,0,1000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
EEYT04,39,6a,ZZZ5,0,120,0,3000,East Cape,Eastern Cape,,
EEYT05,39,6a,ZZZ5,0,120,0,3000,East Cape,Eastern Cape,,
EEYT06,30,7a,05,0,60,0,999999,Gauteng N - Sandton,Gauteng North - Sandton,,
EEYW02,19,4b,03,0,120,0,5000,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
EFRE01,39,6a,04,0,120,0,2000,East Cape,Eastern Cape,,
EGRE02,25,11b,06,0,120,0,750,Ermelo / Piet Retief,Ermelo / Piet Retief,,
EGRW01,40,6b,04,0,120,0,2000,West Cape,Western Cape / Cape Town,,
EIDA02,41,10a,02,0,120,0,1000,Durban,KZN/DBN,,
EIDA03,30,7a,05,0,60,0,999999,Gauteng N - Sandton,Gauteng North - Sandton,,
EKET01,36,7c,05,0,120,0,1000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
EMER01,41,10a,02,0,120,0,1500,Durban,KZN/DBN,,
EMYY01,30,7a,05,0,120,0,999999,Gauteng N - Sandton,Gauteng North - Sandton,,
ENIM01,18,4a,06,0,120,0,15000,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
EOBM01,39,6a,04,0,120,0,2500,East Cape,Eastern Cape,,
EPER01,39,6a,02,0,120,0,20000,East Cape,Eastern Cape,,
EPER04,30,7a,05C,0,120,0,15000,Gauteng N - Sandton,Gauteng North - Sandton,,
EPHE01,4,1b,03,0,120,0,2500,Pretoria North/South/West,Pretoria North/South /West,,
EPIK01,33,1d,03,0,120,0,1000,Pretoria,Pretoria,,
EPIP01,49,10a,02,0,120,0,500,Durban,KwaZulu-Natal / Durban,,
EPIT02,18,4a,06,3,120,0,12500,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
EPRC01,41,10a,02,0,120,0,4000,Durban,KZN/DBN,,
EPRT01,4,1b,03,0,120,0,5000,Pretoria North/South/West,Pretoria North/South /West,,
EPRT02,42,10b,02,0,120,0,5000,Midlands,Midlands,,
EPRT04,45,2a,06,0,120,0,3000,Vaal Triangle,Vaal Triangle,,
EQUE01,36,7c,05,0,120,0,3000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
ERED01,4,1b,03,0,120,0,1000,Pretoria North/South/West,Pretoria North/South /West,,
ERED02,41,10a,02,0,120,0,1000,Durban,KZN/DBN,,
ERED03,41,10a,02,0,120,0,5000,Durban,KZN/DBN,,
ESEB02,40,6b,04,0,120,0,3000,West Cape,Western Cape / Cape Town,,
ESED01,41,10a,02,0,120,0,10000,Durban,KZN/DBN,,
ESED02,42,10b,02,0,120,0,4000,Midlands,Midlands,,
ESED04,42,10b,02,0,120,0,10000,Midlands,Midlands,,
ESET01,41,10a,02,0,120,0,2000,Durban,KZN/DBN,,
ESHL01,49,10a,02,0,120,0,2000,Durban,KwaZulu-Natal / Durban,,
ESHP01,25,11b,06,0,120,0,15000,Ermelo / Piet Retief,Ermelo / Piet Retief,,
ESHP02,16,1c,03,0,120,0,5000,Pretoria East,Pretoria East,,
ESHR01,31,8a,06,0,120,0,30000,Gauteng E - Alberton/Benoni/Kempton,Gauteng East,,
ESHR02,33,1d,03,0,120,0,1000,Pretoria,Pretoria,,
ESHR03,14,3b,06,0,120,0,3000,Johannesburg CBD,Johannesburg CBD,,
ESHR05,14,3b,06C,0,120,0,15000,Johannesburg CBD,Johannesburg CBD,,
ESPC02,37,11a,03,0,120,0,7500,Free State / Lesotho,Free State,,
ESPC03,40,6b,04,0,120,0,15000,West Cape,Western Cape / Cape Town,,
ESPC06,33,1d,03,0,120,0,4000,Pretoria,Pretoria,,
ESPC09,40,6b,04,0,120,0,4000,West Cape,Western Cape / Cape Town,,
ESPC10,41,10a,02,0,120,0,1000,Durban,KZN/DBN,,
ESPC21,33,1d,03,0,120,0,7500,Pretoria,Pretoria,,
ESPC29,39,6a,02,0,120,0,7500,East Cape,Eastern Cape,,
ESPC31,46,2b,05,0,120,0,7500,Krugersdorp / Sun City,Krugersdorp Suncity,,
ESPC33,37,11a,03,0,120,0,7500,Free State / Lesotho,Free State,,
ESPC36,18,4a,06,0,120,0,7500,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
ESPC39,37,11a,03,0,120,0,7500,Free State / Lesotho,Free State,,
ESPC40,46,2b,03,0,120,0,7500,Krugersdorp / Sun City,Krugersdorp Suncity,,
ESPC43,19,4b,03,0,120,0,999999,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
ESPC50,4,1b,03,0,120,0,7500,Pretoria North/South/West,Pretoria North/South /West,,
ESPC51,30,7a,05,0,120,0,4000,Gauteng N - Sandton,Gauteng North - Sandton,,
ESPC53,46,2b,05,0,120,0,7500,Krugersdorp / Sun City,Krugersdorp Suncity,,
ESPC54,18,4a,06,0,120,0,7500,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
ESPC58,40,6b,04,0,120,0,5000,West Cape,Western Cape / Cape Town,,
ESPC59,40,6b,04,0,120,0,15000,West Cape,Western Cape / Cape Town,,
ESPC61,32,7b,05,0,120,0,15000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
ESPC62,33,1d,03,0,120,0,15000,Pretoria,Pretoria,,
ESPC63,32,7b,03,0,120,0,20000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
ESPC64,39,6a,02,0,120,0,5000,East Cape,Eastern Cape,,
ESPC65,39,6a,02,0,120,0,5000,East Cape,Eastern Cape,,
ESPC66,39,6a,04,0,120,0,5000,East Cape,Eastern Cape,,
ESPC67,40,6b,04,0,120,0,0,West Cape,Western Cape / Cape Town,,
ESPC69,45,2a,06,0,120,0,100000,Vaal Triangle,Vaal Triangle,,
ESPC70,47,2c,06,0,120,0,5000,Potch / Krugersdorp / Kuruman,Potch KlerksD Kuruman,,
ESPC76,36,7c,05,0,120,0,15000,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
ESPC78,33,1d,03,0,120,0,3000,Pretoria,Pretoria,,
ESPC83,37,11a,03,0,120,0,7500,Free State / Lesotho,Free State,,
ESPC88,25,11b,05,0,120,0,7500,Ermelo / Piet Retief,Ermelo / Piet Retief,,
ESPC89,18,4a,06,0,120,0,999999,Pietersburg / Potgietersrus,Pietersburg / Potgietersrus,,
ESPC90,39,6a,02,0,120,0,999999,East Cape,Eastern Cape,,
ESPC91,40,6b,04,0,30,0,999999,West Cape,Western Cape / Cape Town,,
ESPC93,36,7c,05,0,120,0,999999,Gauteng N - Eastgate/Norwood/Midrand,Gauteng North - Eastgate / Norwood / Midrand,,
ESPC95,43,3a,06,0,120,0,10000,Soweto/Lenasia,Soweto / Lenasia,,
ESPC98,46,2b,05,0,120,0,7500,Krugersdorp / Sun City,Krugersdorp Suncity,,
ESPC99,19,4b,03,0,120,0,15000,Nelspruit / Tzaneen,Nelspruit / Tzaneen,,
ESTD01,40,6b,04,0,120,0,5000,West Cape,Western Cape / Cape Town,,
ESTH01,40,6b,04,0,120,0,500,West Cape,Western Cape / Cape Town,,
ESTI02,14,3b,06,0,120,0,0,Johannesburg CBD,Johannesburg CBD,,
ESTL02,40,6b,04,0,120,0,10000,West Cape,Western Cape / Cape Town,,
ESTP01,40,6b,04C,0,120,0,7500,West Cape,Western Cape / Cape Town,,
ETHB01,14,3b,06,0,120,0,2500,Johannesburg CBD,Johannesburg CBD,,
ETHE03,41,10a,02,0,120,0,4000,Durban,KZN/DBN,,
ETHL02,40,6b,04,0,30,0,999999,West Cape,Western Cape / Cape Town,,
ETHM02,32,7b,05JAS,0,120,0,5000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
ETRA01,41,10a,02,0,120,0,2000,Durban,KZN/DBN,,
ETRN01,14,3b,06,0,120,0,999999,Johannesburg CBD,Johannesburg CBD,,
EVES01,41,10a,02,0,120,0,2000,Durban,KZN/DBN,,
EVRY01,32,7b,05,0,120,0,999999,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
EZEN01,43,3a,06,0,120,0,3000,Soweto/Lenasia,Soweto / Lenasia,,
FGEF01,32,7b,07,0,120,0,2000,Gauteng N - Randburg/Rivonia,Gauteng North - Randburg / Rivonia,,
FMAO01,34,1e,03,0,60,0,999999,Witbank/Middelburg,Witbank / Middelburg (Mpumalanga),,
FMOF02,41,10a,02,0,120,0,5000,Durban,KZN/DBN,,
FMOF03,41,10a,02,0,120,0,20000,Durban,KZN/DBN,,
FMOF05,41,10a,02,0,120,0,3000,Durban,KZN/DBN,,
FMOF07,41,10a,02,0,120,0,999999,Durban,KZN/DBN,,
FMOF08,41,10a,02,0,120,0,999999,Durban,KZN/DBN,,
