CUSTOMER_NUMBER,CCAT_CODE,REGION_CODE,REP_CODE,SETTLE_TERMS,NORMAL_PAYTERMS,DISCOUNT,CREDIT_LIMIT,COMM_METHOD,COMMISSION,REP_DESC_CLEAN,REP_GROUP,PARAMETER,REGION_DESC,PROVINCE,CCAT_DESC,CCAT_GROUP
ACHVC1,5,20a,CONS5,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ACHVOC,21,25b,ZZZ5,0,120,0,999999,,,,,Consignment,,,,
ACLS01,20,25a,ZZZ2,0,120,0,0,,,,,,,,,
ACLS02,39,6a,02,0,30,0,10000,Sales,0.5,R,Sales Rep,Trading Account,East Cape,Eastern Cape,,
ACLS03,37,11a,03,0,60,0,999999,Sales,0.5,BJ,Sales Rep,,Free State / Lesotho,Free State,,
ACLSC1,5,20a,ZZZ5,0,30,0,999999,,,,,Consignment,,,Consignment,Channel: Consignment
ACLSOC,21,25b,ZZZ5,0,120,0,999999,,,,,Closed,,,,
ADIM01,45,2a,05,0,120,0,2000,Sales,0.5,RL,Sales Rep,,Vaal Triangle,Gauteng,,
ADIMOC,5,20a,STAND,0,120,0,999999,Gross Profit,0.0,CONSIGNMENT_STANDS,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ADJG01,21,25b,ZZZ5,0,120,0,999999,,,,,,,,,
AEVN01,21,25b,ZZZ5,0,120,0,2000,,,,,,,,,
AFRM01,30,7a,05,0,120,0,15000,Sales,0.5,RL,Sales Rep,,Gauteng N - Sandton,Gauteng,,
AFRM02,30,7a,05,0,120,0,7500,Sales,0.5,RL,Sales Rep,,Gauteng N - Sandton,Gauteng,,
AFRM03,21,25b,ZZZ5,0,120,0,5000,,,,,Closed,,,,
AFRM05,2,1a,03,0,120,0,10000,Sales,0.5,BJ,Sales Rep,,Pretoria Central,Gauteng,,
AFRM06,21,25b,ZZZ5,0,120,0,10000,,,,,,,,,
AFRM07,36,7c,05,0,120,0,3000,Sales,0.5,RL,Sales Rep,,Gauteng N - Eastgate/Norwood/Midrand,Gauteng,,
AFRM08,43,3a,05,0,120,0,1500,Sales,0.5,RL,Sales Rep,,Soweto/Lenasia,Gauteng,,
AFRM09,21,25b,ZZZ2,0,120,0,0,,,,,,,,,
AFRM10,30,7a,05,0,120,0,10000,Sales,0.5,RL,Sales Rep,,Gauteng N - Sandton,Gauteng,,
AFRMC1,5,20a,CONS5,0,60,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,,,,Consignment,Channel: Consignment
AFRMOC,5,20a,ZZZ5,0,30,0,999999,,,,,Consignment,,,Consignment,Channel: Consignment
AFRN01,5,20a,CONS2,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Closed,,,Consignment,Channel: Consignment
AFRN02,21,25b,ZZZ5,0,120,0,5000,,,,,Closed,,,,
AFRN03,20,25a,ZZZ4,0,120,0,1000,,,,,,,,,
AFRN04,20,25a,ZZZ2,0,120,0,3000,,,,,,,,,
AFRN05,36,7c,05C,0,120,0,10000,Sales,0.5,RL,Sales Rep,Trading Account,Gauteng N - Eastgate/Norwood/Midrand,Gauteng,,
AFRNOC,5,20a,CONS5,0,30,0,10000,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
AGQD01,20,25a,ZZZ3,0,120,0,10000,,,,,,,,,
AGRN01,1,9a,01,0,60,0,999999,Sales,0.0,HEAD OFFICE,Internal Sales,,,,House accounts,Internal: House Account
AGRNC1,5,20a,CONS5,0,60,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
AGRY01,46,2b,05,0,120,0,5000,Sales,0.5,RL,Sales Rep,Trading Account,Krugersdorp / Sun City,North West,,
AGRYCO,5,20a,CONS5,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
AGUR01,21,25b,ZZZ5,0,120,0,1000,,,,,,,,,
AGUROC,21,25b,ZZZ5,0,30,0,999999,,,,,Closed,,,,
AGUROC,21,25b,ZZZ5,0,30,0,999999,,,,,Consignment,,,,
AGXM01,20,25a,CITC,0,120,0,7500,Sales,0.5,,Unclassified_Missing_Data,,,,,
AGYN01,49,10a,02,0,120,0,2500,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
AHEL01,33,1d,03,0,120,0,4000,Sales,0.5,BJ,Sales Rep,,Pretoria,Gauteng,,
AHET01,2,1a,03,0,120,0,5000,Sales,0.5,BJ,Sales Rep,,Pretoria Central,Gauteng,,
AICR01,21,25b,ZZZ5,0,120,0,3000,,,,,,,,,
AICR02,31,8a,06,0,120,0,1000,Sales,0.0,DA,Sales Rep,,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
AICR03,21,25b,ZZZ5,0,120,0,500,,,,,Closed,,,,
AICR04,46,2b,03,0,120,0,500,Sales,0.5,BJ,Sales Rep,,Krugersdorp / Sun City,North West,,
AICR05,31,8a,06,0,120,0,999999,Sales,0.0,DA,Sales Rep,,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
AICR06,21,25b,ZZZ5,0,120,0,10000,,,,,,,,,
AICR07,41,10a,02,0,120,0,3000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
AICR08,46,2b,03,0,30,0,5000,Sales,0.5,BJ,Sales Rep,,Krugersdorp / Sun City,North West,,
AICR09,31,8a,ZZZ,0,120,0,6000,,,,,Closed,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
AICRC1,21,25b,ZZZ5,0,30,0,999999,,,,,Consignment,,,,
AICROC,21,25b,ZZZ5,0,120,0,999999,,,,,Consignment,,,,
AJEN01,42,10b,02,0,120,0,2000,Sales,0.5,R,Sales Rep,,Midlands,KwaZulu-Natal,,
AKER01,36,7c,05,0,120,0,3000,Sales,0.5,RL,Sales Rep,,Gauteng N - Eastgate/Norwood/Midrand,Gauteng,,
AKER02,21,25b,ZZZ5,0,120,0,4000,,,,,Closed,,,,
AKER03,21,25b,ZZZ5,0,120,0,5000,,,,,,,,,
AKEY01,21,25b,04,0,120,0,1000,Sales,0.5,BM,Sales Rep,,,,,
AKGK01,31,8a,06,0,120,0,3000,Sales,0.0,DA,Sales Rep,,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
AKGR01,21,25b,ZZZ5,0,120,0,0,,,,,,,,,
AKHI01,21,25b,ZZZ5,0,120,0,2000,,,,,,,,,
AKHN01,41,10a,02,0,120,0,20000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
AKHN02,41,10a,02,0,120,0,3000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
AKHN03,43,3a,05,0,120,0,5000,Sales,0.5,RL,Sales Rep,,Soweto/Lenasia,Gauteng,,
AKHN04,40,6b,04,0,120,0,2000,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
AKHN05,49,10a,02,0,120,0,2000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
AKHN06,21,25b,ZZZ5,0,120,0,0,,,,,,,,,
AKHN07,41,10a,02,0,120,0,999999,Sales,0.5,R,Sales Rep,Trading Account,Durban,KwaZulu-Natal,,
AKHN08,4,1b,03,0,120,0,3000,Sales,0.5,BJ,Sales Rep,,Pretoria North/South/West,Gauteng,,
AKHNC1,5,20a,CONS2,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
AKHNOC,21,25b,ZZZ5,0,120,0,999999,,,,,Consignment,,,,
AKWN01,31,8a,06,0,120,0,2500,Sales,0.0,DA,Sales Rep,,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
AMAK01,43,3a,06,0,60,0,999999,Sales,0.0,DA,Sales Rep,,Soweto/Lenasia,Gauteng,,
AMAR01,40,6b,04,0,120,0,4000,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
AMAR02,40,6b,04,0,120,0,5000,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
AMARC1,21,25b,ZZZ5,0,120,0,999999,,,,,Consignment,,,,
AMIOOC,5,20a,CONS5,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
AMKN01,20,25a,CITC,0,120,0,16000,Sales,0.5,,Unclassified_Missing_Data,,,,,
AMKN02,34,1e,03,0,120,0,2000,Sales,0.5,BJ,Sales Rep,,Witbank/Middelburg,Mpumalanga,,
AMKNOC,5,20a,STAN2,0,120,0,999999,Gross Profit,0.0,CONSIGNMENT_STANDS,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
AMMB01,19,4b,06,0,120,0,15000,Sales,0.0,DA,Sales Rep,,Nelspruit / Tzaneen,Mpumalanga,,
AMMB02,21,25b,ZZZ5,0,120,0,0,,,,,,,,,
AMOG01,47,2c,06,0,120,0,5000,Sales,0.0,DA,Sales Rep,,Potch / Krugersdorp / Kuruman,North West,,
AMOL01,46,2b,03,0,120,0,15000,Sales,0.5,BJ,Sales Rep,,Krugersdorp / Sun City,North West,,
ANKD01,4,1b,03,0,120,0,5000,Sales,0.5,BJ,Sales Rep,,Pretoria North/South/West,Gauteng,,
ANKM01,34,1e,03,0,120,0,2000,Sales,0.5,BJ,Sales Rep,,Witbank/Middelburg,Mpumalanga,,
ANSLES,6,21a,STOCK,0,30,0,999999,,,,,,,,Advertising Appro,Internal: Advertising
ANYT01,41,10a,02,0,30,0,4000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
APHR01,21,25b,ZZZ5,0,120,0,2000,,,,,,,,,
APHT01,19,4b,03,0,60,0,999999,Sales,0.5,BJ,Sales Rep,,Nelspruit / Tzaneen,Mpumalanga,,
APLZ01,31,8a,06,0,30,0,18000,Sales,0.0,DA,Sales Rep,,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
AQWQ01,42,10b,02,0,120,0,12000,Sales,0.5,R,Sales Rep,,Midlands,KwaZulu-Natal,,
AREL01,32,7b,05C,0,120,0,15000,Sales,0.5,RL,Sales Rep,,Gauteng N - Randburg/Rivonia,Gauteng,,
AREL02,40,6b,04,0,120,0,15000,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
AREL03,21,25b,06,0,120,0,15000,Sales,0.0,DA,Sales Rep,Closed,,,,
AREL04,32,7b,05,0,120,0,10000,Sales,0.5,RL,Sales Rep,,Gauteng N - Randburg/Rivonia,Gauteng,,
AREL05,36,7c,05,0,120,0,10000,Sales,0.5,RL,Sales Rep,,Gauteng N - Eastgate/Norwood/Midrand,Gauteng,,
ARELCO,5,20a,CONS5,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ARELWM,21,25b,ZZZ5,0,30,0,999999,,,,,Promotion,,,,
ASEP01,40,6b,04,0,120,0,2000,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
ASEP02,21,25b,04C,0,120,0,3000,Sales,0.5,BM,Sales Rep,,,,,
ASEPOC,5,20a,ZZZ5,0,120,0,999999,,,,,Consignment,,,Consignment,Channel: Consignment
ASHB01,20,25a,CITC,0,120,0,0,Sales,0.5,,Unclassified_Missing_Data,,,,,
ASHD02,40,6b,04,0,30,0,2500,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
ASHE01,29,5a,01EXP,0,120,0,5000,Gross Profit,0.5,EXPORTS,Channel: Export,,Botswana and Exports,Export,Exports incl Botswana,Channel: Export
ASHI01,46,2b,03,0,120,0,2000,Sales,0.5,BJ,Sales Rep,,Krugersdorp / Sun City,North West,,
ASHI02,4,1b,03,0,30,0,2500,Sales,0.5,BJ,Sales Rep,,Pretoria North/South/West,Gauteng,,
ASHN01,5,20a,02C,0,120,0,3000,Sales,0.5,R,Sales Rep,Trading Account,,,Consignment,Channel: Consignment
ASHNC1,5,20a,CON2S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ASHNC1,5,20a,CON2S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Promotional Stand,,,Consignment,Channel: Consignment
ASHNOC,21,25b,ZZZ5,0,120,0,999999,,,,,Consignment,,,,
ASHP01,31,8a,06,0,120,0,5000,Sales,0.0,DA,Sales Rep,,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
ASHR02,49,10a,02,0,120,0,1000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
ASHR03,14,3b,06,0,120,0,2000,Sales,0.0,DA,Sales Rep,,Johannesburg CBD,Gauteng,,
ASIN01,41,10a,02,0,120,0,1500,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
ASLB01,39,6a,04,0,120,0,4000,Sales,0.5,BM,Sales Rep,,East Cape,Eastern Cape,,
ASLB02,39,6a,04,0,120,0,2500,Sales,0.5,BM,Sales Rep,,East Cape,Eastern Cape,,
ASLB03,40,6b,04,0,120,0,1500,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
ASLB04,39,6a,04,0,120,0,4000,Sales,0.5,BM,Sales Rep,,East Cape,Eastern Cape,,
ASLB05,39,6a,04,0,120,0,5000,Sales,0.5,BM,Sales Rep,,East Cape,Eastern Cape,,
ASMROC,5,20a,CONS2,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ASPRES,5,20a,STOCK,0,120,0,999999,,,,,,,,Consignment,Channel: Consignment
ASTC01,21,25b,ZZZ5,0,120,0,2000,,,,,,,,,
ASTL01,40,6b,04C,0,120,0,2000,Sales,0.5,BM,Sales Rep,Trading Account,West Cape,Western Cape,,
ASTLC1,5,20a,CONS4,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ASTLOC,21,25b,ZZZ5,0,120,0,999999,,,,,Closed,,,,
ASTN01,30,7a,05,0,120,0,7500,Sales,0.5,RL,Sales Rep,Promotional Stand,Gauteng N - Sandton,Gauteng,,
ASTN04,45,2a,06,0,120,0,7500,Sales,0.0,DA,Sales Rep,,Vaal Triangle,Gauteng,,
ASTN07,21,25b,ZZZ5,0,120,0,3000,,,,,Closed,,,,
ASTNC1,5,20a,STAND,0,30,0,999999,Gross Profit,0.0,CONSIGNMENT_STANDS,Channel: Consignment,Promotional Stand,,,Consignment,Channel: Consignment
ASTNC2,5,20a,CONS5,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ASTNC2,5,20a,CONS5,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Promotional Stand,,,Consignment,Channel: Consignment
ASTNC3,5,20a,CONS5,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Promotion,,,Consignment,Channel: Consignment
ASTNOC,21,25b,ZZZ5,0,120,0,999999,,,,,Closed,,,,
ASWN02,18,4a,06,0,120,0,7500,Sales,0.0,DA,Sales Rep,,Pietersburg / Potgietersrus,Limpopo,,
ASWZ01,25,11b,06,0,120,0,4000,Sales,0.0,DA,Sales Rep,,Ermelo / Piet Retief,Mpumalanga,,
ATEM01,37,11a,03,0,120,0,30000,Sales,0.5,BJ,Sales Rep,,Free State / Lesotho,Free State,,
ATHM01,49,10a,02,0,120,0,1000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
ATHT01,21,25b,ZZZ5,0,120,0,0,,,,,Closed,,,,
ATLK01,25,11b,06,0,120,0,3000,Sales,0.0,DA,Sales Rep,,Ermelo / Piet Retief,Mpumalanga,,
ATLL01,4,1b,03,0,120,0,1000,Sales,0.5,BJ,Sales Rep,,Pretoria North/South/West,Gauteng,,
ATRV01,21,25b,ZZZ5,0,120,0,5000,,,,,,,,,
ATSG01,33,1d,03,0,120,0,2000,Sales,0.5,BJ,Sales Rep,,Pretoria,Gauteng,,
ATYL02,21,25b,ZZZ5,0,120,0,5000,,,,,Closed,,,,
ATYL03,40,6b,04,0,30,0,5000,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
ATYLC1,5,20a,CON4S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
ATYLC1,5,20a,CON4S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Promotional Stand,,,Consignment,Channel: Consignment
AVAL01,45,2a,06,0,120,0,500,Sales,0.0,DA,Sales Rep,,Vaal Triangle,Gauteng,,
AVAL02,45,2a,06,0,120,0,2000,Sales,0.0,DA,Sales Rep,,Vaal Triangle,Gauteng,,
AVAL04,45,2a,06,0,120,0,2000,Sales,0.0,DA,Sales Rep,,Vaal Triangle,Gauteng,,
AZWV01,21,25b,ZZZ5,0,120,0,4000,,,,,,,,,
BABR01,36,7c,05,0,60,0,6000,Sales,0.5,RL,Sales Rep,,Gauteng N - Eastgate/Norwood/Midrand,Gauteng,,
BABR02,21,25b,ZZZ5,0,60,0,10000,,,,,Closed,,,,
BBII01,47,2c,06,0,120,0,999999,Sales,0.0,DA,Sales Rep,,Potch / Krugersdorp / Kuruman,North West,,
BCAI01,33,1d,03,0,120,0,999999,Sales,0.5,BJ,Sales Rep,,Pretoria,Gauteng,,
BDEB01,41,10a,02,0,120,0,3000,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
BDEE01,21,25b,ZZZ5,0,120,0,2000,,,,,,,,,
BDEE02,21,25b,ZZZ1,0,120,0,0,,,,,,,,,
BDEE03,21,25b,ZZZ5,0,120,0,1000,,,,,,,,,
BDER01,34,1e,03,0,120,0,20000,Sales,0.5,BJ,Sales Rep,,Witbank/Middelburg,Mpumalanga,,
BDER02,21,25b,ZZZ2,0,120,0,5000,,,,,,,,,
BDER03,34,1e,03,0,120,0,999999,Sales,0.5,BJ,Sales Rep,,Witbank/Middelburg,Mpumalanga,,
BDES01,21,25b,ZZZ5,0,120,0,0,,,,,,,,,
BDOS01,43,3a,06,0,120,0,4500,Sales,0.0,DA,Sales Rep,,Soweto/Lenasia,Gauteng,,
BEMA01,21,25b,ZZZ5,0,120,0,0,,,,,,,,,
BEYE02,19,4b,03,0,120,0,7500,Sales,0.5,BJ,Sales Rep,,Nelspruit / Tzaneen,Mpumalanga,,
BGAO01,21,25b,ZZZ5,0,120,0,20000,,,,,Closed,,,,
BGIR01,21,25b,ZZZ5,0,120,0,500,,,,,,,,,
BGIS01,41,10a,02,0,120,0,500,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
BHAE01,19,4b,03,0,120,0,10000,Sales,0.5,BJ,Sales Rep,,Nelspruit / Tzaneen,Mpumalanga,,
BHAEOC,5,20a,STAN2,0,120,0,999999,Gross Profit,0.0,CONSIGNMENT_STANDS,Channel: Consignment,Promotional Stand,,,Consignment,Channel: Consignment
BJMO01,21,25b,ZZZ5,0,120,0,5000,,,,,,,,,
BJOI01,21,25b,ZZZ5,0,120,0,1000,,,,,Closed,,,,
BKOR01,21,25b,ZZZ5,0,120,0,20000,,,,,,,,,
BKOROC,5,20a,CONS2,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
BKUJ01,31,8a,06,0,120,0,5000,Sales,0.0,DA,Sales Rep,,Gauteng E - Alberton/Benoni/Kempton,Gauteng,,
BLAU01,47,2c,06,0,120,0,3500,Sales,0.0,DA,Sales Rep,,Potch / Krugersdorp / Kuruman,North West,,
BLAU02,47,2c,06,0,120,0,5000,Sales,0.0,DA,Sales Rep,,Potch / Krugersdorp / Kuruman,North West,,
BLEO01,20,25a,CITC,0,120,0,15000,Sales,0.5,,Unclassified_Missing_Data,,,,,
BMAI01,18,4a,06,0,120,0,999999,Sales,0.0,DA,Sales Rep,,Pietersburg / Potgietersrus,Limpopo,,
BMAO01,21,25b,03,0,120,0,5000,Sales,0.5,BJ,Sales Rep,,,,,
BMAU01,37,11a,03,0,120,0,5000,Sales,0.5,BJ,Sales Rep,,Free State / Lesotho,Free State,,
BMOE01,21,25b,ZZZ1,0,120,0,5000,,,,,,,,,
BMOI01,32,7b,05,0,120,0,1000,Sales,0.5,RL,Sales Rep,,Gauteng N - Randburg/Rivonia,Gauteng,,
BNAO01,21,25b,ZZZ5,0,120,0,2000,,,,,,,,,
BNSIRG,13,9a,SALE,0,120,0,999999,,,,,,,,sale goods,Channel: Retail
BRAA01,42,10b,02,0,120,0,5000,Sales,0.5,R,Sales Rep,,Midlands,KwaZulu-Natal,,
BRAO01,18,4a,06,0,120,0,30000,Sales,0.0,DA,Sales Rep,,Pietersburg / Potgietersrus,Limpopo,,
BROA01,40,6b,04C,0,120,0,5000,Sales,0.5,BM,Sales Rep,Trading Account,West Cape,Western Cape,,
BROA02,21,25b,ZZZ5,0,120,0,5000,,,,,Closed,,,,
BROAC1,5,20a,CONS4,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
BROAOC,5,20a,CON4S,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
BROE01,21,25b,ZZZ5,0,120,0,5000,,,,,,,,,
BROI01,32,7b,05,0,120,0,4000,Sales,0.5,RL,Sales Rep,,Gauteng N - Randburg/Rivonia,Gauteng,,
BROI02,14,3b,06,0,120,0,7500,Sales,0.0,DA,Sales Rep,,Johannesburg CBD,Gauteng,,
BSAE01,21,25b,ZZZ5,0,120,0,3000,,,,,,,,,
BSEA01,45,2a,06,0,120,0,2500,Sales,0.0,DA,Sales Rep,,Vaal Triangle,Gauteng,,
BSUR01,41,10a,02,0,120,0,999999,Sales,0.5,R,Sales Rep,,Durban,KwaZulu-Natal,,
BURA01,32,7b,05C,0,30,0,1000,Sales,0.5,RL,Sales Rep,Trading Account,Gauteng N - Randburg/Rivonia,Gauteng,,
BURAOC,5,20a,CONS5,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
BZUA01,2,1a,03,0,120,0,999999,Sales,0.5,BJ,Sales Rep,,Pretoria Central,Gauteng,,
CADO01,46,2b,05,0,120,0,10000,Sales,0.5,RL,Sales Rep,,Krugersdorp / Sun City,North West,,
CADO02,32,7b,05,0,120,0,10000,Sales,0.5,RL,Sales Rep,,Gauteng N - Randburg/Rivonia,Gauteng,,
CADOC1,5,20a,CON5S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Promotional Stand,,,Consignment,Channel: Consignment
CADOOC,5,20a,CON5S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
CADOOC,5,20a,CON5S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Promotional Stand,,,Consignment,Channel: Consignment
CANH01,20,25a,ZZZ2,0,120,0,2000,,,,,,,,,
CBAH01,21,25b,ZZZ5,0,120,0,1500,,,,,Closed,,,,
CBAH02,21,25b,ZZZ5,0,120,0,2000,,,,,Closed,,,,
CBFB01,14,3b,06,0,120,0,10000,Sales,0.0,DA,Sales Rep,,Johannesburg CBD,Gauteng,,
CBUH01,40,6b,04C,0,120,0,4000,Sales,0.5,BM,Sales Rep,Trading Account,West Cape,Western Cape,,
CBUH02,40,6b,04C,0,120,0,4000,Sales,0.5,BM,Sales Rep,Trading Account,West Cape,Western Cape,,
CBUH03,21,25b,ZZZ5,0,120,0,15000,,,,,Closed,,,,
CBUH04,40,6b,04C,0,120,0,999999,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
CBUHC1,5,20a,ZZZ5,0,30,0,999999,,,,,Consignment,,,Consignment,Channel: Consignment
CBUHC2,5,20a,CONS4,0,30,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,Consignment,,,Consignment,Channel: Consignment
CBUHOC,21,25b,ZZZ5,0,30,0,999999,,,,,Closed,,,,
CDIH01,43,3a,06,0,120,0,1000,Sales,0.0,DA,Sales Rep,,Soweto/Lenasia,Gauteng,,
CDIHC1,5,20a,CON6S,0,120,0,999999,Gross Profit,0.5,CONSIGNMENT,Channel: Consignment,,,,Consignment,Channel: Consignment
CEXL01,14,3b,06,0,120,0,999999,Sales,0.0,DA,Sales Rep,,Johannesburg CBD,Gauteng,,
CFIK01,40,6b,04,0,120,0,2000,Sales,0.5,BM,Sales Rep,,West Cape,Western Cape,,
CFMH01,21,25b,ZZZ5,0,120,0,1000,,,,,,,,,
CFOU01,20,25a,CITC,0,120,0,1000,Sales,0.5,,Unclassified_Missing_Data,,,,,
