CUSTOMER_NUMBER,FIN_PERIOD,DEPOSIT_DATE,DEPOSIT_REF,BANK_AMT,DISCOUNT,TOT_PAYMENT
AGXM01,201908,2019-10-22,DB08-143,-73.56,0,-73
AHET01,201908,2019-10-30,DB08-201,-76.38,0,-76
AICR02,201906,2019-08-30,DB06-178,-2951.18,-155,-2951
AICR02,201909,2019-11-01,DB09-004,-45.54,0,-45
AICR04,201904,2019-06-01,DB04-003,-433.2,0,-433
AICR04,201908,2019-10-31,DB08-216,-3114.65,0,-3114
AICR04,201909,2019-11-01,DB08-216,0.0,-163,0
AICR04,202010,2019-12-31,DB10-163,-579.35,-30,-579
AICR04,202011,2020-01-30,DB11-172,-3227.28,-169,-3227
AICR05,201905,2019-07-16,DB05-120,-6982.5,0,-6982
AICR05,201906,2019-08-02,DB06-015,-741.86,0,-741
AICR05,201908,2019-10-09,DD08-004,0.0,-121,0
AICR05,202010,2019-12-31,DB10-165,-18883.53,0,-18883
AICR05,202011,2020-01-30,DB11-173,-2477.79,0,-2477
AICR07,201904,2019-06-04,DD04-002,-693.12,-36,-693
AICR07,201907,2019-09-02,DD07-001,-768.81,-40,-768
AICR09,201906,2019-08-21,DD06-009,-3353.88,0,-3353
AKER01,201810,2018-12-10,DB10-066,-115.88,0,0
AKGK01,201905,2019-07-17,DD05-012,-9256.8,0,-9256
AKGK01,201907,2019-09-20,DB07-134,-4628.39,0,-4628
AKGK01,201910,2019-12-20,DB10-132,-609.09,0,-609
AKGK01,202011,2020-01-29,DD11-012,0.0,0,0
AKHN01,201904,2019-06-24,DB04-121,-2026.51,0,-2026
AKHN01,201905,2019-07-05,DD05-005,0.0,0,0
AKHN01,201905,2019-07-22,DB05-157,-980.54,0,-980
AKHN01,201906,2019-08-30,DB06-177,-10000.0,0,-10000
AKHN01,201908,2019-10-14,DB08-073,-3000.0,0,-3000
AKHN01,201909,2019-11-27,DB09-148,-3000.0,0,-3000
AKHN01,201910,2019-12-20,DB10-122,-1433.83,0,-1433
AKHN03,201904,2019-06-03,DD04-001,0.0,-37,0
AKHN03,201909,2019-11-14,DB09-065,-144.0,-8,-144
AKHN03,201910,2019-12-18,DB12-081,-142.0,0,-142
AKHN04,201910,2019-12-17,DD10-007,-735.24,0,-735
AKHN07,201905,2019-07-11,DD05-008,-12455.64,-1382,-12454
AKHN07,201906,2019-08-07,DB06-031,0.0,-4486,0
AKHN07,201908,2019-10-11,DD08-006,-1364.53,-151,-1364
AKHN07,201909,2019-11-26,DD09-017,-7794.93,-866,-7794
AKHN07,202011,2020-01-07,DD11-002,-6885.19,-983,-6885
AKHN08,201909,2019-11-19,DD09-011,-2547.9,0,-2547
AKWN01,201910,2019-12-05,DD10-003,-642.28,0,-642
AMAK01,201905,2019-07-26,DD05-017,-13564.0,-1936,-13564
AMAR01,201903,2019-05-28,DB03-171,-188.1,-42,-188
AMKN01,201909,2019-11-12,DD09-007,-2658.61,0,-2658
AMKN01,201910,2019-12-10,DD10-006,-2658.61,0,-2658
AMKN01,202011,2020-01-10,DD11-003,-2658.61,0,-2658
AMMB01,201903,2019-05-15,DB03-070,-5000.0,0,-5000
AMMB01,201905,2019-07-10,DB05-059,-11202.6,0,-11202
AMOL01,201906,2019-08-31,DB06-195,-6680.4,0,-6680
ANKD01,201910,2019-12-19,DB10-120,-2495.04,0,-2495
ANKD01,202011,2020-01-22,DB11-090,-2495.0,0,-2495
ANKM01,201903,2019-05-14,DB03-066,-4500.0,0,-4500
ANKM01,201904,2019-06-13,DD04-009,-5000.0,0,-5000
ANKM01,201905,2019-07-01,DD05-001,-10000.0,0,-10000
ANKM01,201905,2019-07-30,DD05-018,-10000.0,0,-10000
ANKM01,201906,2019-08-15,DD06-007,-5000.0,0,-5000
ANKM01,201910,2019-12-05,DD10-003,-5000.0,0,-5000
ANYT01,201903,2019-05-13,DB03-052,-2000.0,0,-2000
ANYT01,201904,2019-06-26,DB04-143,-1500.0,0,-1500
ANYT01,201905,2019-07-12,DB05-101,-2000.0,0,-2000
ANYT01,201905,2019-07-27,DB05-197,-2000.0,0,-2000
ANYT01,201907,2019-09-06,DB07-045,-2000.0,0,-2000
ANYT01,201907,2019-09-28,DB07-181,-1144.15,-111,-1144
ANYT01,201908,2019-10-24,DB08-161,-3864.88,0,-3864
APHT01,201904,2019-06-10,DD04-005,0.0,-3690,0
APHT01,201906,2019-08-28,DD06-013,-387.54,0,-387
APHT01,201909,2019-11-25,DD09-016,-2368.29,-841,-2368
APHT01,202011,2020-01-06,DD11-001,-2546.93,0,-2546
APHT01,202011,2020-01-31,DD11-014,-2546.93,0,-2546
APLZ01,201903,2019-05-30,DB03-184,-655.22,-34,-655
APLZ01,201907,2019-09-30,DB07-184,-456.0,0,-456
APLZ01,201908,2019-10-28,DB08-181,-741.86,0,-741
APLZ01,201909,2019-11-26,DD09-017,0.0,-39,0
APLZ01,202011,2020-01-24,DB11-116,-1256.25,-66,-1256
AQWQ01,201903,2019-05-15,DB03-072,-1000.0,0,-1000
AREL02,201905,2019-07-17,DB05-133,-2770.2,0,-2770
AREL05,201909,2019-11-25,DB09-131,-576.27,0,-576
AREL05,202011,2020-01-08,DB11-017,-969.0,0,-969
ASHB01,201810,2018-12-10,DD10-005,-4109.7,0,0
ASHB01,201903,2019-05-13,DB03-059,-2000.0,0,-2000
ASHB01,201906,2019-08-07,DB06-038,-2000.0,0,-2000
ASHI01,201903,2019-05-15,DB03-074,-2992.5,0,-2992
ASHI01,201904,2019-06-28,DB04-177,-1716.84,0,-1716
ASHN01,201904,2019-06-04,DD04-002,-295.26,0,-295
ASHR02,201903,2019-05-30,DB03-196,-729.6,0,-729
ASHR02,201905,2019-07-19,DB05-153,-4104.0,0,-4104
ASHR02,201908,2019-10-07,DB08-042,-1429.38,0,-1429
ASHR02,201908,2019-10-15,DB08-106,-1429.38,0,-1429
ASHR03,201908,2019-10-16,DD08-008,-4434.6,0,-4434
ASLB03,201908,2019-10-21,DB08-128,-43.26,-2,-43
ASLB03,202011,2020-01-22,DB11-085,-1602.84,-84,-1602
ASLB05,201909,2019-11-25,DB09-130,-2696.28,-141,-2696
ASTL01,201904,2019-06-06,DB04-027,-2797.56,0,-2797
ASTL01,201906,2019-08-07,DB06-033,-450.3,0,-450
ASTL01,201907,2019-09-05,DB07-024,-2428.14,0,-2428
ASTL01,201907,2019-09-05,DB07-025,-2873.94,0,-2873
ASTL01,201909,2019-11-07,DB09-037,-410.04,0,-410
ASTL01,201910,2019-12-13,DB12-064,-427.44,0,-427
ASTL01,202011,2020-01-27,DB11-130,-376.14,0,-376
ASWN02,201908,2019-10-11,DB08-096,-1650.29,-133,-1650
ASWN02,201910,2019-12-19,DB10-101,-42.18,-3,-42
ATLK01,201907,2019-09-17,DB07-096,-1500.0,0,-1500
ATLK01,201908,2019-10-08,DB08-044,-1200.0,0,-1200
ATLK01,201909,2019-11-07,DB09-033,-2000.0,0,-2000
ATLK01,202011,2020-01-30,DB11-170,-4000.0,-37,-4000
ATLL01,201909,2019-11-12,DD09-007,-2000.0,0,-2000
ATLL01,201910,2019-12-19,DD10-008,-810.1,0,-810
ATLL01,202011,2020-01-29,DD11-012,-912.0,0,-912
ATYL01,201906,2019-08-13,DD06-006,-4000.0,0,-4000
ATYL01,201907,2019-09-10,DD07-003,-1107.31,0,-1107
ATYL01,201908,2019-10-09,DD08-004,-1000.0,0,-1000
ATYL01,201909,2019-11-13,DD09-008,-5000.0,0,-5000
ATYL01,201910,2019-12-09,DB10-041,-4861.67,0,-4861
ATYL01,202011,2020-01-23,DD11-009,-2000.0,0,-2000
AVAL04,201903,2019-05-17,DD03-011,-2180.25,-242,-2180
AVAL04,201905,2019-07-30,DD05-018,-231.76,-12,-230
AVAL04,201906,2019-08-28,DD06-013,-126.71,-6,-126
AVAL04,202011,2020-01-07,DD11-002,-709.37,-37,-709
BDER01,201903,2019-05-30,DB03-195,-5000.0,0,-5000
BDER01,201904,2019-06-01,DB04-005,-5082.7,0,-5082
BDER01,201906,2019-08-26,DB06-133,-918.22,-102,-918
BDER01,201909,2019-11-25,DB09-132,-5890.36,-565,-5890
BDER01,202011,2020-01-02,DB11-002,-45.54,0,-45
BDER01,202011,2020-01-20,DD11-006,0.0,-89,0
BEYE02,201904,2019-06-26,DB04-145,-1365.01,0,-1365
BEYE02,201910,2019-12-19,DB10-095,-1878.89,0,-1878
BEYE02,202011,2020-01-29,DD11-012,0.0,-98,0
BHAE01,201905,2019-07-30,DD05-018,-31030.8,0,-31030
BHAE01,201908,2019-10-24,DB08-160,-3925.82,-206,-3925
BKUJ01,201903,2019-05-21,DB03-125,-133.38,0,-133
BLAU02,201904,2019-06-07,DD04-004,-974.7,0,-974
BMAU01,201906,2019-08-22,DB06-113,-4500.0,0,-4500
BMAU01,201907,2019-09-06,DB07-043,-2500.0,0,-2500
BMAU01,201907,2019-09-21,DB07-136,-3000.0,0,-3000
BMAU01,201908,2019-10-15,DB08-075,-2500.0,0,-2500
BMAU01,201909,2019-11-14,DB09-062,-3000.0,0,-3000
BMAU01,201909,2019-11-15,DB09-067,-3000.0,0,-3000
BMAU01,202010,2019-12-31,DB10-166,-3000.0,0,-3000
BMAU01,202011,2020-01-15,DB11-046,-3760.0,0,-3760
BRAA01,201907,2019-09-06,DB07-040,-2000.0,0,-2000
BRAA01,201908,2019-10-23,DB08-145,-1500.0,0,-1500
BRAA01,201909,2019-11-08,DB09-039,-1500.0,0,-1500
BRAO01,201903,2019-05-31,DB03-199,-3000.0,0,-3000
BRAO01,201905,2019-07-01,DB05-003,-7873.8,0,-7872
BRAO01,202011,2020-01-30,DB11-159,-5772.33,-303,-5772
BROA01,201903,2019-05-17,DB03-105,-1391.14,-45,-1391
BROA01,201905,2019-07-26,DD05-017,-2504.06,0,-2504
BROA01,201907,2019-09-16,DD07-007,-268.73,0,-268
BROA01,201908,2019-10-14,DB08-097,-1243.74,0,-1243
BROA01,201910,2019-12-18,DB12-086,-1041.96,0,-1041
BROI01,201910,2019-12-19,DD10-008,-191.52,0,-191
BSEA01,201904,2019-06-05,DB04-021,-500.0,0,-500
BSEA01,201905,2019-07-03,DB05-030,-1000.0,0,-1000
BSEA01,201906,2019-08-22,DB06-114,-543.5,0,-543
BURA01,201903,2019-05-31,DD03-020,-2109.67,-111,-2109
BURA01,201905,2019-07-02,DD05-002,-1190.0,0,-1190
BURA01,201908,2019-10-04,DD08-002,-237.2,0,-237
BURA01,201908,2019-10-31,DD08-016,-1467.47,-77,-1467
BURA01,201909,2019-11-29,DD09-018,-556.39,-29,-556
BURA01,202011,2020-01-07,DD11-002,-4207.17,-221,-4207
BURA01,202011,2020-01-31,DD11-014,-1558.44,-82,-1558
CBUH01,201904,2019-06-11,DB03-053,-71.82,-7,-71
CBUH01,201905,2019-07-25,DD05-016,0.0,-78,0
CBUH02,201904,2019-06-03,DB04-012,-1841.37,-233,-1841
CBUH02,201906,2019-08-02,DB06-018,-71.19,0,-71
CBUH02,201908,2019-10-09,DB08-058,-391.79,0,-391
CDIH01,201910,2019-12-13,DB12-071,-833.05,0,-833
CFIK01,201907,2019-09-25,DB07-154,-79.8,0,-79
CFOU01,201909,2019-11-15,DB09-071,-1500.0,0,-1500
CFOU01,202011,2020-01-14,DB11-040,-2900.0,0,-2900
CJAO01,201905,2019-07-17,DD05-012,-114.0,0,-114
CKDO01,201904,2019-06-03,DD04-001,0.0,-16,0
CNIH02,201904,2019-06-07,DB04-042,-23696.42,0,-23696
CNIH02,201905,2019-07-10,DB05-060,-55487.12,0,-55486
CNIH02,201905,2019-07-13,DB05-107,-14820.0,0,-14820
CNIH02,201906,2019-08-06,DB06-027,-20754.73,0,-20754
CNIH02,201907,2019-09-06,DB07-047,-19003.42,0,-19003
CNIH02,201908,2019-10-04,DB08-031,-27559.7,0,-27559
CNIH02,201908,2019-10-09,DB08-052,-3381.24,0,-3381
CNIH02,201908,2019-10-26,DB08-178,-33362.62,0,-33362
CNIH02,201909,2019-11-06,DB09-023,-19209.09,0,-19209
CNIH02,201910,2019-12-07,DB10-036,-25977.67,0,-25977
CNIH02,202011,2020-01-08,DB11-019,-34119.37,0,-34119
COCH06,201903,2019-05-30,DB0319,0.0,-62,0
COCH06,201903,2019-05-30,DB03-190,-12321.29,-648,-12321
COCH06,201904,2019-06-28,DB04-169,-2075.02,-108,-2074
COCH06,201906,2019-08-28,DB06-168,-262.51,-13,-262
COCH06,201907,2019-09-28,DB07-180,-828.38,-3,-828
COCH06,201908,2019-10-30,DB08-203,-785.12,-41,-785
COCH06,201909,2019-11-29,DB09-169,-187.28,-21,-187
COCH06,202010,2019-12-30,DB10-155,-1265.17,-131,-1265
COCH06,202011,2020-01-31,DB11-184,-34.68,0,-34
CTIK01,201903,2019-05-17,DD03-011,-251.37,-27,-251
CTIK01,201910,2019-12-04,DB10-024,-22.8,0,-22
CTIK01,201910,2019-12-20,DD10-009,-1881.0,0,-1881
CTIK01,202011,2020-01-13,DD11-004,-1710.0,0,-1710
CVIT01,201905,2019-07-30,DD05-018,-4000.0,0,-4000
CVIT01,201906,2019-08-27,DB06-152,-2000.0,0,-2000
CVIT01,201907,2019-09-12,DB07-080,-1167.67,0,-1167
CVIT01,201909,2019-11-25,DB09-127,-1500.0,0,-1500
CVIT01,201910,2019-12-10,DB10-042,-500.0,0,-500
CVIT01,201910,2019-12-19,DB12-089,-2000.0,0,-2000
CVIT01,202011,2020-01-28,DB11-139,-3000.0,0,-3000
CWEK01,201907,2019-09-27,DD07-011,-477.04,-53,-477
DANE02,201905,2019-07-11,DB05-076,-320.58,-24,-320
DBID01,201903,2019-05-21,DB03-124,-4304.07,-478,-4304
DBOE01,201906,2019-08-13,DB06-079,-8331.75,-675,-8331
DBUG03,201904,2019-06-21,DD04-011,-557.75,-29,-557
DELO01,201905,2019-07-24,DB05-174,-2960.92,-154,-2960
DELO01,201907,2019-09-23,DB07-143,-2138.93,-112,-2138
DHYR01,201907,2019-09-13,DD07-006,-11878.21,0,-11878
DHYR01,201908,2019-10-22,DD08-011,-6596.06,0,-6596
DINE02,201909,2019-11-07,DD09-005,-207.48,0,-207
DINE02,202011,2020-01-13,DD11-004,-370.5,0,-370
DINU02,201909,2019-11-19,DD09-011,0.0,-315,0
DINU02,201909,2019-11-20,DB07-063,-2208.46,0,-2208
DJAA02,201905,2019-07-24,DB05-181,-1354.14,-78,-1354
DJUE01,201903,2019-05-30,DD03-019,-133.38,0,-133
DJUE01,201908,2019-10-30,DD08-015,-655.22,-34,-655
DLEW01,201903,2019-05-28,DD03-017,-7088.9,0,-7088
DLEW01,201907,2019-09-02,DD07-001,-3263.25,0,-3263
DLEW01,201907,2019-09-27,DD07-010,-3263.25,0,-3263
DLEW01,201908,2019-10-02,DD08-014,-3263.25,0,-3263
DLEW01,201909,2019-11-11,DB09-044,-1331.0,0,-1331
DLEW01,202011,2020-01-23,DD11-009,-4094.51,0,-4094
DLEW02,201903,2019-05-27,DB03-158,-2500.0,0,-2500
DLEW02,201905,2019-07-24,DB05-171,-14000.0,0,-14000
DLEW02,201906,2019-08-28,DB06-165,-7200.0,0,-7200
DLEW02,201908,2019-10-24,DB08-167,-9000.0,0,-9000
DLEW02,201910,2019-12-07,DB10-035,-6000.0,0,-6000
DLEW02,202011,2020-01-27,DB11-133,-5000.0,0,-5000
DLEW03,201903,2019-05-31,DD03-020,-869.25,0,-869
DLEW03,201904,2019-06-11,DB03-052,-870.0,0,-870
DLEW03,201905,2019-07-01,DD05-001,-1738.5,0,-1738
DLEW03,201908,2019-10-02,DB08-016,-311.99,0,-311
DLEW03,201909,2019-11-25,DB09-128,-160.0,0,-160
DMAI01,201906,2019-08-07,DB06-037,-1300.0,0,-1300
DMAI01,201909,2019-11-25,DB09-134,-500.0,0,-500
DMAI02,201904,2019-06-04,DB04-014,-1000.0,0,-1000
DMAI02,201905,2019-07-01,DB05-008,-2000.0,0,-2000
DMAI02,201906,2019-08-01,DB06-009,-2665.33,0,-2665
DMAI02,201907,2019-09-27,DB07-173,-2000.0,0,-2000
DMAI02,201909,2019-11-19,DB09-100,-2000.0,0,-2000
DMAI02,202011,2020-01-27,DB11-137,-2000.0,0,-2000
DMAZ01,201905,2019-07-17,DD02-002,0.0,-1000,0
DMCO01,201810,2018-12-10,DB10-065,-4000.0,0,0
DMCO01,201904,2019-06-12,DB04-057,-5659.22,-297,-5659
DMCO01,201905,2019-07-03,DB05-029,-361.2,0,-360
DMCO01,201907,2019-09-17,DB07-115,-2070.9,0,-2070
DMCO01,201910,2019-12-06,DB10-032,-6700.5,0,-6700
DMCO01,202011,2020-01-17,DB11-057,-2270.73,0,-2270
DMEI01,201905,2019-07-01,DD05-001,-4180.84,-238,-4180
DMEI01,201909,2019-11-13,DB09-060,-3231.33,0,-3231
DMEI07,201903,2019-05-14,DB03-082,-200.63,-5,-200
DMEI07,201904,2019-06-11,DB04-085,-55.47,-1,-55
DMIR01,201906,2019-08-01,DB06-005,-133.38,0,-133
DMIR01,201909,2019-11-01,DB09-007,-564.3,0,-564
DMOE01,201903,2019-05-28,DD03-017,-2634.25,-138,-2634
DMOI01,201904,2019-06-24,DB04-123,-98.0,0,-98
DMOI01,201906,2019-08-28,DB06-166,-450.3,0,-450
DMOI02,201903,2019-05-30,DD03-019,-6212.58,0,-6212
DMOI02,201904,2019-06-10,DD04-005,-6212.58,0,-6212
DMOI02,201904,2019-06-25,DD04-012,-6212.58,0,-6212
DMOI03,201907,2019-09-27,DB07-172,-135.6,0,-135
DMOI04,201907,2019-09-28,DB07-182,-3000.0,0,-3000
DMOI04,201908,2019-10-25,DB08-176,-2113.58,0,-2113
DMUA01,201904,2019-06-26,DB04-139,-161.8,0,-161
DPAA02,201903,2019-05-30,DB03-189,-820.8,0,-820
DRAU01,201903,2019-05-28,DB03-170,-3580.74,-397,-3580
DRAU01,201904,2019-06-26,DB04-144,-19079.5,-2119,-19079
DRAU01,201905,2019-07-24,DB05-175,-135.44,-14,-134
DRAU01,201906,2019-08-21,DB06-104,-377.41,-41,-377
DRAU01,201907,2019-09-25,DB07-153,-580.66,-64,-580
DRAU01,201908,2019-10-26,DB08-179,-1400.38,-155,-1400
DRAU01,201909,2019-11-28,DB09-161,-7722.88,-858,-7722
DRAU01,202011,2020-01-03,DB11-003,-156.92,-17,-156
DRAU01,202011,2020-01-30,DB11-171,-3670.76,-407,-3670
DREE01,201903,2019-05-29,DB03-180,-188.1,0,-188
DSAI01,201908,2019-10-02,DD08-014,-193.8,0,-193
DSEI01,201905,2019-07-12,DB05-075,-4000.0,0,-4000
DSEI01,201908,2019-10-10,DB08-059,-2000.0,0,-2000
DSIN01,201909,2019-11-11,DB09-041,-243.96,0,-243
DVIA01,201905,2019-07-08,DB05-051,-5000.0,0,-5000
DVIA01,201905,2019-07-08,DB05-052,-5229.12,0,-5228
DVIA01,201907,2019-09-17,DB07-097,-2500.0,0,-2500
DVIA01,201910,2019-12-19,DB10-093,-3000.0,0,-3000
DVIA01,202011,2020-01-17,DB11-054,-1595.94,0,-1595
DWAE04,201904,2019-06-26,DB04-147,-28.5,0,-28
DWAE04,201910,2019-12-19,DB10-097,-484.5,0,-484
EACO01,201904,2019-06-14,DB04-064,-25375.0,0,-25375
EACO01,201906,2019-08-28,DB06-173,-29557.55,-8837,-29557
EACO01,201909,2019-11-22,DB09-123,-8456.0,0,-8456
EALX01,201907,2019-09-23,DB07-139,-3534.0,0,-3534
EAMR01,201903,2019-05-31,DB03-197,-1400.0,0,-1400
EAMR01,201904,2019-06-18,DB04-069,-700.0,0,-700
EAMR01,201907,2019-09-05,DB07-023,-4900.0,0,-4900
EAMR01,202011,2020-01-29,DD11-012,0.0,-860,0
ECHT02,201905,2019-07-18,DB05-140,-1203.4,0,-1202
ECHT02,201907,2019-09-05,DB07-027,-500.0,0,-500
ECHT02,201910,2019-12-02,DB10-010,-500.0,0,-500
ECHT03,201905,2019-07-04,DD05-004,-1992.72,-270,-1992
ECHT03,201907,2019-09-03,DB07-015,-4081.22,-583,-4081
ECHT03,201908,2019-10-01,DD08-001,-159.14,-8,-159
ECHT04,201904,2019-06-05,DB04-022,-674.74,0,-674
ECHT04,201907,2019-09-11,DB07-070,-960.0,0,-960
ECHT04,201908,2019-10-09,DB08-055,-2500.0,0,-2500
ECHT04,201909,2019-11-06,DB09-028,-2000.0,0,-2000
ECHT04,201909,2019-11-27,DB09-155,-1811.68,0,-1811
ECHT05,201903,2019-05-25,DB03-152,-2924.22,0,-2924
ECHT05,201906,2019-08-28,DB06-169,-5175.6,-60,-5175
ECHT05,201909,2019-11-02,DB09-011,-4654.44,0,-4654
ECHT05,201910,2019-12-03,DB10-019,-780.9,0,-780
ECHT05,202011,2020-01-23,DB11-094,-1641.6,0,-1641
ECHT06,202011,2020-01-25,DB11-129,-788.76,0,-788
ECLA01,201903,2019-05-30,DD03-019,-1143.3,0,-1143
ECLA01,201904,2019-06-26,DD04-013,-3033.54,0,-3033
ECLA01,201905,2019-07-16,DD05-011,-4318.8,0,-4318
ECLA01,201906,2019-08-21,DD06-009,-1330.38,0,-1329
ECLA01,201907,2019-09-10,DD07-003,0.0,-547,0
ECLA01,201908,2019-10-02,DD08-014,-4719.54,0,-4719
ECLA01,201910,2019-12-19,DD10-008,-1040.7,0,-1040
ECLA02,201903,2019-05-15,DD03-010,-797.66,0,-797
ECLA05,201906,2019-08-30,DB06-186,-1506.67,0,-1506
ECOT04,201903,2019-05-25,DB03-149,-1440.39,-75,-1440
ECOT04,201905,2019-07-29,DB05-200,-79.8,0,-78
ECOT04,201908,2019-10-22,DB08-139,-169.97,-8,-169
ECOT04,201910,2019-12-24,DB10-146,-45.54,0,-45
EEVR02,201905,2019-07-17,DB05-134,-3721.82,0,-3720
EEYB02,201904,2019-06-21,DD04-011,0.0,-72,0
EEYC02,201810,2018-12-10,DB10-072,-9000.0,0,0
EEYC02,201903,2019-05-23,DB03-145,-3500.0,0,-3500
EEYC02,201905,2019-07-24,DB05-179,-10000.0,0,-10000
EEYC02,201907,2019-09-04,DB07-021,-8100.0,0,-8100
EEYC02,201908,2019-10-22,DB08-137,-6000.0,0,-6000
EEYC02,201910,2019-12-10,DB10-043,-6000.0,0,-6000
EEYD04,201910,2019-12-04,DD10-002,-460.27,-24,-460
EEYD04,202011,2020-01-07,DD11-002,-427.78,-22,-427
EEYE02,201903,2019-05-27,DB03-166,-6450.0,0,-6450
EEYE02,201904,2019-06-25,DB04-134,-6572.0,0,-6572
EEYE02,201908,2019-10-02,DB08-020,-3306.0,0,-3306
EEYL01,201904,2019-06-25,DD04-012,-468.54,0,-468
EEYL06,201904,2019-06-06,DB04-031,-121.98,0,-121
EEYP02,201908,2019-10-01,DB08-011,-32027.16,0,-32027
EEYP02,201908,2019-10-03,DB08-028,0.0,-8006,0
EEYP02,201909,2019-11-12,DB09-056,-22596.65,0,-22596
EEYP02,202011,2020-01-21,DB11-081,-27010.21,0,-27010
EEYS10,201908,2019-10-09,DD08-004,-1795.0,0,-1795
EEYS10,201910,2019-12-11,DB10-052,-1769.0,0,-1769
EEYS11,201907,2019-09-04,DD07-015,-17913.4,-13,-17913
EEYS11,201909,2019-11-19,DD09-011,-1150.45,-60,-1150
EEYT04,201907,2019-09-20,DD07-008,-1789.63,0,-1789
EEYT04,202011,2020-01-27,DD11-011,-974.47,-51,-974
EEYT05,201907,2019-09-20,DD07-008,-79.8,0,-79
EEYT06,201910,2019-12-21,DD10-010,-4653.42,-517,-4653
EEYT06,202011,2020-01-14,DD11-005,-1846.8,-205,-1846
EFRE01,201906,2019-08-26,DD06-012,-39.95,0,-39
EFRE01,201907,2019-09-06,DD07-003,0.0,-5,0
EGRE01,201903,2019-05-14,DB03-077,-848.87,-68,-848
EGRE01,201908,2019-10-21,DB08-131,-820.68,0,-820
EGRW01,201910,2019-12-06,DD10-004,-41.1,-2,-41
EIDA02,201906,2019-08-05,DB06-023,-997.5,0,-997
EIDA03,201906,2019-08-31,DB06-194,-950.95,0,-950
EIDA03,201908,2019-10-07,DB08-039,-1050.7,0,-1050
EIDA03,201908,2019-10-10,DB08-069,0.0,-99,0
EIDA03,201908,2019-10-16,DB08-109,-525.35,0,-525
EIDA03,201909,2019-11-04,DB09-013,-525.35,0,-525
EKET01,201910,2019-12-19,DD10-008,-1076.16,0,-1076
EMER01,201903,2019-05-23,DB03-143,-1080.72,0,-1080
EMER01,201909,2019-11-29,DD09-018,-777.08,0,-777
EMER01,202011,2020-01-06,DD11-001,-2000.0,0,-2000
EMER01,202011,2020-01-29,DD11-012,-2000.0,0,-2000
EMYY01,202011,2020-01-30,DD11-013,-4000.0,0,-4000
ENIM01,201903,2019-05-20,DB03-116,-1000.0,0,-1000
ENIM01,201904,2019-06-19,DB04-074,-1000.0,0,-1000
ENIM01,201905,2019-07-11,DB05-070,-2000.0,0,-2000
ENIM01,201906,2019-08-22,DB06-110,-621.08,0,-621
ENIM01,201907,2019-09-17,DB07-118,-1000.0,0,-1000
ENIM01,201909,2019-11-01,DB09-008,-1000.0,0,-1000
ENIM01,202011,2020-01-23,DB11-099,-1000.0,0,-1000
EPER01,201903,2019-05-29,DB03-181,-5787.55,-304,-5787
EPER01,201905,2019-07-30,DB05-206,-2741.3,-95,-2741
